t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11351.0,1.0,0.0,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
0.25,11350.89159080063,1.074034199370155,0.034375,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
0.5,11350.775156725009,1.1535483493873118,0.07129492560334907,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
0.75,11350.650103949141,1.2389479007451314,0.11094815011353792,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
1.0,11350.515794739387,1.3306682764116549,0.15353698420165182,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
1.25,11350.371544210544,1.4291770832539015,0.19927870620330246,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
1.5,11350.216616845324,1.5349764862375208,0.24840666844015533,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
1.75,11350.05022275779,1.6486057570571604,0.3011714851545701,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
2.0,11349.871513682046,1.770644009903108,0.35784230805341,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
2.25,11349.679578666131,1.9017131379783234,0.41870819589382935,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
2.5,11349.47343944964,2.04248096535086,0.48407958501183423,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
2.75,11349.252045502044,2.1936646297637785,0.5542898681957701,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
3.0,11349.014268697028,2.356034213131988,0.6296970898438999,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
3.25,11348.758897596446,2.53041663763723,0.7106857659203121,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
3.5,11348.484631315572,2.7176998465929976,0.7976688378390918,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
3.75,11348.190072939344,2.918837290595084,0.8910897700657261,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
4.0,11347.873722457169,3.1348527409052966,0.9914248019299321,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
4.25,11347.533969181564,3.3668454535404475,1.0991853648985517,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
4.5,11347.169083613479,3.615995709160846,1.2149206773640047,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
4.75,11346.77720871456,3.883570755577098,1.3392205298664088,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
5.0,11346.356350543889,4.170931181525953,1.4727182745893717,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,1.0,11352.0
