t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,11351.0,1.0,0.0,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
0.25,11350.91596990288,1.0543425971194502,0.0296875,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
0.5,11350.827374047916,1.1116376562312005,0.060988295851983676,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
0.75,11350.733964448296,1.1720455129322473,0.09399003877134743,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
1.0,11350.635479658276,1.2357352017862795,0.12878513993652352,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
1.25,11350.53164404389,1.3028849273711551,0.1654710287395537,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
1.5,11350.422167014247,1.3736825607315613,0.20415042502088485,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
1.75,11350.306742211362,1.4483261625956418,0.24493162604260307,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
2.0,11350.18504665622,1.5270245347857758,0.28792880899466117,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
2.25,11350.0567398488,1.6099978013286895,0.33326234987111386,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
2.5,11349.921462819553,1.6974780208488633,0.3810591595980593,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
2.75,11349.778837129747,1.7897098319119116,0.43145303834200993,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
3.0,11349.628463817951,1.886951133071455,0.4845850489768948,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
3.25,11349.469922289796,1.9894737994641516,0.5406039107399536,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
3.5,11349.302769147946,2.097564437893183,0.5996664141615456,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
3.75,11349.126536959147,2.2115251824408158,0.6619378584114995,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
4.0,11348.94073295498,2.3316745327558617,0.7275925122652113,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
4.25,11348.744837662773,2.458348237272135,0.7968140999564008,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
4.5,11348.538303463021,2.591900223729594,0.8697963132504174,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
4.75,11348.320553069369,2.732703579490922,0.9467433511423897,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
5.0,11348.09097792707,2.881151584273089,1.0278704886585264,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
5.25,11347.84893652564,3.0376587980461593,1.1134046763166336,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
5.5,11347.593752621127,3.2026622069904525,1.203585171883629,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
5.75,11347.3247133633,3.3766224305484007,1.298664206153658,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
6.0,11347.041067322682,3.560024992759219,1.3989076845605637,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
6.25,11346.742022412245,3.753381661223089,1.504595926533103,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
6.5,11346.426743698194,3.957231857207117,1.6160244446006635,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
6.75,11346.094351094061,4.172144140578103,1.7335047653614999,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
7.0,11345.743916932039,4.3987177734272835,1.8573652945349124,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
7.25,11345.374463405127,4.6375843664399525,1.987952228433535,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
7.5,11344.98495987343,4.889409612258303,2.125630514312221,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
7.75,11344.574320027536,5.154895110289177,2.2707848621761393,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
8.0,11344.141398901618,5.4347802876197635,2.4238208107628494,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
8.25,11343.684989728525,5.729844420923783,2.585165850551561,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
8.5,11343.203820628734,6.040908764468319,2.755270606797736,0.9,0.9,0.95,0.33614999999999995,0.11875,9.0,0.037349999999999994,1.0,11352.0
