t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,11347.0,5.0,0.0,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
0.25,11346.455552408166,5.388197591834038,0.15625,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
0.5,11345.868862319225,5.806506506029815,0.3246311747448137,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
0.75,11345.236657650663,6.257257846278485,0.5060845030582454,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
1.0,11344.555413740356,6.742962448888788,0.701623810754448,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
1.25,11343.821333990412,7.26632462230459,0.9123413872822226,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
1.5,11343.03032905045,7.8302569178183505,1.139414031729241,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
1.75,11342.177994433818,8.437896005770448,1.3841095604110645,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
2.0,11341.259586453043,9.092619736365407,1.647793810591391,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
2.25,11340.269996353341,9.798065469305797,1.93193817735281,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
2.5,11339.203722514994,10.55814976173749,2.238127723268616,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
2.75,11338.05484058717,11.377089509506868,2.568069903322913,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
3.0,11336.816971407068,12.25942464243716,2.9236039504950027,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
3.25,11335.48324654921,13.21004248021752,3.3067109705711637,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
3.5,11334.046271340383,14.234203861537889,3.7195247980779613,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
3.75,11332.498085165988,15.337571165259858,4.1643436687510205,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
4.0,11330.830118883689,16.526238348643915,4.643642767665391,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
4.25,11329.033149150036,17.806763133899995,5.160087716060513,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
4.5,11327.09724945548,19.186201480521188,5.716549063994888,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
4.75,11325.011737652821,20.672144486913684,6.316117860261175,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,5.0,11352.0
