t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11351.0,1.0,0.0,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
0.25,11350.89625913936,1.0693658606412966,0.034375,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
0.5,11350.785323218528,1.1435423300126613,0.07113445145954458,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
0.75,11350.666693396672,1.2228628842744163,0.11044371905372982,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
1.0,11350.539836273707,1.3076840955929674,0.1524796307006629,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
1.25,11350.404181499782,1.3983872287327024,0.19743127148667117,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
1.5,11350.25911921994,1.4953799475871332,0.2455008324743578,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
1.75,11350.10399734267,1.5990981391576282,0.2969045181726655,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
2.0,11349.938118620303,1.7100078629919369,0.351873516706209,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
2.25,11349.760737528373,1.828607434631089,0.4106550369965568,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
2.5,11349.571056930256,1.955429652184045,0.4735134175620005,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
2.75,11349.36822451239,2.091044175756693,0.540731311855827,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
3.0,11349.151328974496,2.2360600701074906,0.6126109553974634,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
3.25,11348.919395958106,2.3911285215883975,0.6894755203074083,1.0,1.0,1.1,0.4149999999999999,0.1375,10.0,0.041499999999999995,1.0,11352.0
