t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11252.0,100.0,0.0,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
0.25,11241.716393587034,107.47110641296688,2.8125,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
0.5,11230.67458872882,115.49028640331721,5.835124867864693,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
0.75,11218.820531354057,124.09617947298652,9.08328917295799,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
1.0,11206.096599493027,133.32990628633917,12.573494220635736,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
1.25,11192.44141228108,143.23518988398354,16.323397834939026,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
1.5,11177.789635932293,153.85847651728258,20.351887550426063,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
1.75,11162.071787999124,165.24905479840248,24.679157202474634,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
2.0,11145.214041518066,177.4591716132556,29.326786868679704,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
2.25,11127.138030963251,190.5441429664467,34.317826070302516,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
2.5,11107.760662292349,204.56245761641895,39.676880091233826,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
2.75,11086.993929774448,219.57587101385718,45.43019921169561,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
3.0,11064.744742740048,235.64948667599305,51.60577058396034,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
3.25,11040.914765889856,252.8518217134212,58.23341239672265,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
3.5,11015.400277342591,271.2548527749963,65.34486988241262,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
3.75,10988.092049191106,290.9340381921841,72.9739126167094,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
4.0,10958.875255968811,311.9683115903228,81.15643244086458,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
4.25,10927.629417099637,334.4400416960184,89.9305412043424,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
4.5,10894.22838010779,358.43495251516464,99.33666737704291,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
4.75,10858.540352087903,384.0419974955624,109.41765041653193,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
5.0,10820.427987667947,411.35318073595505,120.21883159609462,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
5.25,10779.748542418092,440.4633177776109,131.78813980429337,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
5.5,10736.354101345203,471.469728038005,144.17617061678868,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
5.75,10690.091892735782,504.47185054635713,157.43625671785756,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
6.0,10640.804698134605,539.5707743509167,171.62452751447387,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
6.25,10588.331369630023,576.8686748268798,186.7999555430934,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
6.5,10532.507465810917,616.4681471664792,203.0243870225994,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,100.0,11352.0
