t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11351.0,1.0,0.0,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
0.25,11350.897296547964,1.0714534520348837,0.03125,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
0.5,11350.787255575402,1.148011504221579,0.06473292037609012,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
0.75,11350.669353040756,1.2300386793618818,0.10060827988301446,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
1.0,11350.543027502134,1.317925509253953,0.13904698861307327,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
1.25,11350.407677451996,1.412090387226307,0.1802321607772593,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
1.5,11350.262658462478,1.5129815521434713,0.22435998537808138,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
1.75,11350.107280127973,1.6210792131428005,0.27164065888256483,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
2.0,11349.940802790701,1.7368978250035378,0.32229938429327737,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
2.25,11349.762434033939,1.8609885247337046,0.37657744132463794,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
2.5,11349.571324926585,1.99394174069041,0.4347333327225662,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
2.75,11349.36656600155,2.1363899863274396,0.4970440121191415,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
3.0,11349.147182949311,2.289010851493389,0.563806199191874,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
3.25,11348.912132006608,2.4525302050871525,0.6353377883010425,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
3.5,11348.660295018968,2.6277256238183657,0.711979357210016,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
3.75,11348.390474154221,2.815430062821666,0.79409578295434,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
4.0,11348.10138624264,3.0165357849387084,0.8820779724175171,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
4.25,11347.791656717685,3.2319985666141577,0.9763447156968517,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
4.5,11347.459813129537,3.462842199554928,1.0773446709035441,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
4.75,11347.104278201776,3.710163308579229,1.1855584896396356,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
5.0,11346.723362399525,3.97513650743722,1.3015010930327364,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
5.25,11346.315255975283,4.259019915821763,1.4257241088901496,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
5.5,11345.878020456426,4.563161062309577,1.5588184812595796,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
5.75,11345.409579535955,4.889003199583498,1.7014172644567538,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
6.0,11344.907709325564,5.238092059988927,1.8541986144437381,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
6.25,11344.370027927403,5.612083081275167,2.017888991318392,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
6.5,11343.793984278122,6.012749134268119,2.193266587608241,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
6.75,11343.176846215727,6.441988786217325,2.38116499805412,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
7.0,11342.515687716716,6.901835135659917,2.582477147623411,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
7.25,11341.807375247537,7.394465256848016,2.7981594956127838,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
7.5,11341.048553171013,7.922210294095734,3.0292365348892845,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
7.75,11340.235628144601,8.487566248816906,3.276805606579776,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
8.0,11339.364752443598,9.093205504544164,3.5420420518553044,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
8.25,11338.431806138284,9.741989137841607,3.8262047238723094,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
8.5,11337.432378049825,10.436980065743128,4.13064188442986,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
8.75,11336.361745405353,11.181457083160959,4.456797511484332,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
9.0,11335.21485210806,11.978929846605928,4.806218045333112,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
9.25,11333.986285533427,12.83315486353221,5.180559603039547,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
9.5,11332.670251757823,13.748152549650998,5.581595692524928,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
9.75,11331.260549120665,14.72822541963278,6.011225459701522,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
10.0,11329.750540016219,15.777977479715267,6.4714825040650465,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
10.25,11328.133120805865,16.90233489382739,6.964544300306149,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
10.5,11326.400689736363,18.106567997897464,7.492742265738255,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
10.75,11324.545112744328,19.396314739997177,8.058572515672552,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
11.0,11322.557687021863,20.777605626836923,8.664707351297464,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
11.25,11320.429102213044,22.25689025981748,9.314007527136118,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
11.5,11318.149399105949,23.84106554629404,10.009535347755413,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
11.75,11315.707925680075,25.537505673845224,10.754568646077102,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
12.0,11313.093290364539,27.354093937073607,11.552615698384765,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
12.25,11310.293312358388,29.299256507691716,12.407431133918315,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
12.5,11307.294968860966,31.3819982392489,13.323032899783682,1.1,0.9,1.0,0.41084999999999994,0.125,11.0,0.037349999999999994,1.0,11352.0
