t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11350.0,2.0,0.0,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
0.25,11349.760379723837,2.1802452761627906,0.059375,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
0.5,11349.499169751009,2.3767292173549692,0.12410103163608284,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
0.75,11349.214426060453,2.5909137592698515,0.1946601802763085,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
1.0,11348.904029810315,2.824392257179174,0.2715779325046322,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
1.25,11348.565671659428,3.078901262931584,0.35542707763963893,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
1.5,11348.196834690732,3.3563333503830846,0.4468319588829203,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
1.75,11347.794775813494,3.658751081282574,0.5464731052224181,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
2.0,11347.356505510588,3.988402211463807,0.6550922779479945,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
2.25,11346.878765785757,4.347736245641497,0.7734979686008263,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
2.5,11346.358006153394,4.739422458213308,0.9025713883933082,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
2.75,11345.790357500107,5.166369507271121,1.0432729926215158,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
3.0,11345.171603633067,5.631746779564141,1.1966495873686271,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
3.25,11344.49715031464,6.139007615472664,1.3638420698869376,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
3.5,11343.761991566347,6.6919145751823494,1.5460938584712822,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
3.75,11342.960673007348,7.294566920230369,1.7447600724220083,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
4.0,11342.087251973677,7.951430498458322,1.9613175278663473,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
4.25,11341.135254144034,8.667370235178735,2.1973756207893285,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
4.5,11340.097626376295,9.447685449061316,2.454688174646197,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
4.75,11338.966685435706,10.298148227881201,2.735166336415205,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
5.0,11337.73406227123,11.225045116840894,3.040892611930428,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
5.25,11336.390641470505,12.235222390661061,3.374136138836642,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
5.5,11334.926495496451,13.336135199992999,3.7373693035593925,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
5.75,11333.330813279823,14.535900902872232,4.133285817309185,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
6.0,11331.591822711829,15.843356912811627,4.564820375363204,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
6.25,11329.696706549703,17.268123416588253,5.035170033712299,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
6.5,11327.631511215734,18.820671336628223,5.547817447642262,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
6.75,11325.381047937159,20.51239593489782,6.106556127948412,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
7.0,11322.92878564068,22.355696477057947,6.715517882265691,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
7.25,11320.256734981636,24.364062396939183,7.379202621428349,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
7.5,11317.345322854513,26.552166421654128,8.102510723837481,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
7.75,11314.173256699254,28.935965136270095,8.890778164480338,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
8.0,11310.717377887375,31.53280748316592,9.749814629463357,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
8.25,11306.952503444312,34.3615517040719,10.685944851619844,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
8.5,11302.851255340944,37.44269124122505,11.706053417834479,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
8.75,11298.383876569227,40.79849011671719,12.817633314058348,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
9.0,11293.518033206248,44.453128304355225,14.028838489398389,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
9.25,11288.218601669802,48.43285759426562,15.348540735933934,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
9.5,11282.447440379467,52.76616842477095,16.786391195763695,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
9.75,11276.163145063081,57.48396811604578,18.352886820874083,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
10.0,11269.320786993134,62.619770882548735,20.059442124319194,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
10.25,11261.871633505087,68.2098999225197,21.91846657239486,1.05,1.1,0.95,0.47932499999999995,0.11875,10.5,0.045649999999999996,2.0,11352.0
