t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11351.0,1.0,0.0,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
0.25,11350.901964886694,1.0636601133060253,0.034375,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
0.5,11350.797689747567,1.1313719360379426,0.07093831639489462,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
0.75,11350.686777548464,1.2033932248405386,0.1098292266961989,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
1.0,11350.568806012743,1.2799981184584648,0.15119586880009242,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
1.25,11350.443326018998,1.361478176882182,0.19519580412210213,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
1.5,11350.30985989741,1.4481434861403382,0.24199661645242715,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
1.75,11350.167899618364,1.540323832850364,0.2917765487885013,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
2.0,11350.016904866568,1.6383699528919506,0.34472518054273255,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
2.25,11349.856300993493,1.74265485883589,0.40104414767339336,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
2.5,11349.685476840512,1.8535752510442975,0.4609479084458771,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
2.75,11349.503782424643,1.9715530176583524,0.5246645577005248,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
3.0,11349.310526478312,2.0970368290072092,0.5924366926825306,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
3.25,11349.104973834013,2.230503832307576,0.6645223336796534,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
3.5,11348.886342644208,2.372461452878512,0.7411959029152263,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
3.75,11348.653801426171,2.5234493084712386,0.8227492653579251,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
4.0,11348.406465920954,2.6840412437101184,0.909492835336624,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
4.25,11348.143395754852,2.8548474920594566,1.0017567530891593,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
4.5,11347.8635908912,3.036516973172403,1.0998921356287032,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
4.75,11347.565987859476,3.229739733943992,1.2042724065815047,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
5.0,11347.249455747984,3.4352495420813027,1.3152947099358294,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
5.25,11346.912791945535,3.6538266415208183,1.4333814129448743,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
5.5,11346.554717616686,3.886300679567399,1.5589817037471525,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
5.75,11346.173872894191,4.133553816201755,1.6925732896072818,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
6.0,11345.768811771355,4.396524026604959,1.8346642020392172,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
6.25,11345.337996675966,4.676208608580208,1.9857947154537627,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
6.5,11344.879792706412,4.973667907214662,2.1465393863737074,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
6.75,11344.392461509497,5.290029269818382,2.3175092206842116,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
7.0,11343.874154778261,5.62649124490404,2.4993539768342186,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
7.25,11343.322907346892,5.984328039730435,2.692764613377795,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
7.5,11342.736629858531,6.364894251725562,2.898475889743529,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
7.75,11342.113100980423,6.769629889931003,3.117269129646595,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
8.0,11341.44995913942,7.200065703468834,3.3499751571129734,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
8.25,11340.744693749408,7.6578288349246355,3.5974774156697147,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
8.5,11339.994635900666,8.144648817464951,3.860715281870249,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
8.75,11339.196948479568,8.662363935463537,4.140687584970607,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
9.0,11338.348615685354,9.212927969396546,4.438456345252166,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
9.25,11337.446431909022,9.798417346780269,4.755150744200172,1.05,0.9,1.1,0.39217499999999994,0.1375,10.5,0.037349999999999994,1.0,11352.0
