t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,11347.0,5.0,0.0,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
0.25,11346.429626332365,5.421936167635659,0.1484375,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
0.5,11345.811151498952,5.879447271071907,0.3094012299766836,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
0.75,11345.140525388455,6.375527290708635,0.48394732083663083,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
1.0,11344.413357994797,6.913421217922784,0.6732207872795435,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
1.25,11343.624891090101,7.4966459302111925,0.8784629796866261,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
1.5,11342.769967571689,8.129012772570299,1.101019655739771,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
1.75,11341.842998298282,8.814651979291293,1.3423497224254517,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
2.0,11340.837926216984,9.558039079954796,1.6040347030606619,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
2.25,11339.748187568224,10.364023443527344,1.88778898824682,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
2.5,11338.566669940687,11.237859125085327,2.195470934226538,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
2.75,11337.285666932192,12.185238190803306,2.5290948770025086,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
3.0,11335.89682915579,13.212326708414775,2.8908441357919816,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
3.25,11334.391111312707,14.325803602341828,3.2830850849480453,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
3.5,11332.758715035568,15.532902585036593,3.7083823793925683,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
3.75,11330.98902718641,16.841457388701613,4.169515424885843,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
4.0,11329.07055327453,18.2599505343539,4.669496191112922,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
4.25,11326.990845639362,19.797565888033493,5.211588472601553,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
4.5,11324.736426023434,21.46424526666211,5.7993287099025475,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
4.75,11322.292702140323,23.270749368418905,6.436548491256579,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
5.0,11319.643877822611,25.228723314256303,7.127398863131515,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
5.25,11316.772856315467,27.350767098009264,7.876376586523499,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
5.5,11313.661136263188,29.65051125206607,8.688352484745648,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
5.75,11310.28869991916,32.14269804329837,9.56860203754136,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
6.0,11306.63389309497,34.843268519328184,10.52283838570178,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
6.25,11302.673296352563,37.769455727567134,11.557247919869335,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
6.5,11298.381586935218,40.93988442799858,12.678528636781484,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
6.75,11293.73139092982,44.37467761444233,13.893931455737693,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
7.0,11288.69312515565,48.09557014693257,15.21130469741645,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
7.25,11283.234828285294,52.12602977855087,16.63914193615351,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
7.5,11277.321980722725,56.49138583207031,18.18663344520424,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
7.75,11270.917312794583,61.2189657433222,19.863721462093828,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
8.0,11263.980600855142,66.33823963725851,21.681159507598707,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
8.25,11256.468450966258,71.88097303691107,23.65057599682982,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
8.5,11248.334069893968,77.88138772216749,25.784542383863116,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
8.75,11239.527023266686,84.37633065144857,28.09664608186496,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
9.0,11229.992980870376,91.40545073154262,30.60156839807984,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
9.25,11219.673449218164,99.0113830651625,33.31516771667251,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
9.5,11208.505491730644,107.23994011793555,36.25456815141953,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
9.75,11196.421437104576,116.1403090217519,39.43825387367074,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
10.0,11183.348576737768,125.76525396447784,42.886169297754,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
10.25,11169.208852423824,136.1713223013508,46.619825274824436,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
10.5,11153.918535939443,147.4190526549098,50.662411405645784,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
10.75,11137.387902626879,159.57318284178174,55.03891453133842,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
11.0,11119.520901633448,172.70285496959602,59.77624339695382,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
11.25,11100.214826116817,186.88181447931817,64.9033594038637,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
11.5,11079.359987467515,202.18859926126572,70.45141327121846,1.0,1.1,0.95,0.45649999999999996,0.11875,10.0,0.045649999999999996,5.0,11352.0
