t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,11350.0,2.0,0.0,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
0.25,11349.748969234495,2.191655765503876,0.059375,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
0.5,11349.473888806384,2.40167141307656,0.12443978053839631,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
0.75,11349.172456072809,2.6318045265750176,0.1957394006141067,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
1.0,11348.84214820528,2.8839806972220177,0.2738710974968025,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
1.25,11348.480201191422,3.160309534131106,0.35948927444558115,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
1.5,11348.083586845585,3.463102190673088,0.4533109637400984,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
1.75,11347.648987641767,3.7948905482062276,0.5561218100257057,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
2.0,11347.172769165321,4.158448211501918,0.6687826231755781,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
2.25,11346.65094996146,4.5568134840841825,0.7922365544545413,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
2.5,11346.079168538497,4.993314506738208,0.9275169547632904,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
2.75,11345.452647262113,5.471596758704668,1.075755979182081,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
3.0,11344.766152853406,5.995653138637229,1.2381940079561258,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
3.25,11344.013953178157,6.5698568613334976,1.4161899605094186,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
3.5,11343.189769987295,7.198997426624881,1.6112325860802568,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
3.75,11342.286727239125,7.88831993869299,1.824952822183183,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
4.0,11341.297294602113,8.643568077526112,2.0591373203631314,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
4.25,11340.213225703053,9.471031049283592,2.3157432476646878,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
4.5,11339.025490649034,10.37759486902781,2.5969144819402943,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
4.75,11337.724202312767,11.370798357619917,2.9049993296145575,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
5.0,11336.29853582961,12.458894264536136,3.242569905856399,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
5.25,11334.736640710778,13.65091595988916,3.6124433293348153,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
5.5,11333.025544931177,14.956750171931027,4.017704896894025,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
5.75,11331.15105030177,16.387216280609078,4.461733417623227,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
6.0,11329.097618385937,17.954152713111775,4.94822890095381,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
6.25,11326.848246166925,19.67051102345382,5.481242809624315,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
6.5,11324.384330619792,21.55045827457715,6.0652111056331,1.1,1.1,0.95,0.50215,0.11875,11.0,0.045649999999999996,2.0,11352.0
