t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,10852.0,500.0,0.0,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
0.25,10794.72336482558,542.4328851744186,14.84375,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
0.5,10732.91386413852,588.1389095828639,30.947226278615553,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
0.75,10666.279959466583,637.3124403765597,48.40760015685682,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
1.0,10594.523156393892,690.1490303755714,67.32781323053594,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
1.25,10517.340094395051,746.8432930351377,87.81661256981072,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
1.5,10434.425093436661,807.5863837315471,109.98852283179136,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
1.75,10345.473195115572,872.5630612856057,133.96374359882165,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
2.0,10250.183729645423,941.9483108738373,159.86795948073808,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
2.25,10148.26443043728,1015.9035196029128,187.83204995980512,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
2.5,10039.436104889619,1094.5722094123623,217.9916856980166,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
2.75,9923.43785293219,1178.0753489028616,250.4867981649461,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
3.0,9800.032803625538,1266.5062862889595,285.4609100854998,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
3.25,9669.014314688458,1359.9253698518362,323.06031545970325,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
3.5,9530.212550493125,1458.354349629693,363.43309987717964,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
3.75,9383.501321496902,1561.7706838712832,406.72799463181116,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
4.0,9228.805033391067,1670.101904799689,453.0930618092399,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
4.25,9066.105559068134,1783.2202288238823,502.6742121079807,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
4.5,8895.448812992776,1900.9376243560312,555.6135626511897,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
4.75,8716.95077834267,2023.0015732830673,612.0476483742593,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
5.0,8530.802715376583,2149.091777042313,672.1055075811004,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
5.25,8337.275268084884,2278.8180622030677,735.906669712044,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
5.5,8136.721188391143,2411.719730675155,803.5590809336976,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
5.75,7929.576415676764,2547.2665738851156,875.1570104381162,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
6.0,7716.359286040009,2684.8617271096564,950.7789868503306,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
6.25,7497.667701098966,2823.846479527131,1030.4858193738985,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
6.5,7274.174159363107,2963.507078902029,1114.3187617348601,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
6.75,7046.61864150357,3103.0834803566627,1202.2978781397642,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
7.0,6815.799439700951,3241.779891336194,1294.4206689628527,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
7.25,6582.56212446787,3378.7768660452316,1390.6610094868959,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
7.5,6347.786942574867,3513.2446097275165,1490.9684476976136,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
7.75,6112.375029077672,3644.357073873426,1595.2678970488992,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
8.0,5877.233887382549,3771.3063649379314,1703.4597476795166,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
8.25,5643.262637403584,3893.316957207802,1815.4204053886115,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
8.5,5411.337548743974,4009.659198700305,1931.003252555718,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
8.75,5182.298361615633,4119.661628367231,2050.040010017133,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
9.0,4956.935853879004,4222.721681511709,2172.3424646092853,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
9.25,4735.981041872356,4318.314443598478,2297.704514529164,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
9.5,4520.0963116539915,4405.999213772512,2425.9044745734936,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
9.75,4309.868673534752,4485.423750232881,2556.707576232365,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
10.0,4105.80522465521,4556.326181527384,2689.868593817404,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
10.25,3908.330799949115,4618.534672719384,2825.1345273314982,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
10.5,3717.7876981634167,4671.965026408725,2962.247275427855,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
10.75,3534.437292041832,4716.616470808801,3100.946237149364,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
11.0,3358.463273687468,4752.5659376860285,3240.9707886265005,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
11.25,3189.976248805464,4779.961161292978,3382.0625899015545,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
11.5,3029.0193764231544,4799.012936699402,3523.96768687744,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
11.75,2875.5747517230393,4809.986864841254,3666.4383834357036,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
12.0,2729.5702456931394,4813.194885821179,3809.2348684856784,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
12.25,2590.8865427345313,4808.986865606971,3952.126591658495,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
12.5,2459.364152384941,4797.742458383855,4094.8933892312016,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
12.75,2334.81021037479,4779.863421160735,4237.326368464473,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
13.0,2217.004924265137,4755.766511954678,4379.2285637801815,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
13.25,2105.707557483565,4725.877060412596,4520.415382103836,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
13.5,2000.6618808971862,4690.623261767975,4660.714857334835,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
13.75,1901.6010520002135,4650.431212581211,4799.9677354185715,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
14.0,1808.251907762867,4605.720680195053,4938.027412042076,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
14.25,1720.3386780567218,4556.901577207908,5074.759744735367,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
14.5,1637.5861425452927,4504.371097145978,5210.042760308727,1.1,1.05,0.95,0.47932499999999995,0.11875,11.0,0.043574999999999996,500.0,11352.0
