t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,11252.0,100.0,0.0,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
0.25,11241.25363129845,107.30886870155038,3.4375000000000004,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
0.5,11229.732838220023,115.14091941836124,7.126242361615795,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
0.75,11217.383856984941,123.5319315484362,11.084211466621962,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
1.0,11204.149500550482,132.51987783591827,15.330621613599458,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
1.25,11189.968987778688,142.1450198071032,19.88599241420915,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
1.5,11174.77777157777,152.4500009521514,24.77222747007832,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
1.75,11158.50736745481,163.47993629238198,30.012696252808524,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
2.0,11141.085184194226,175.28249674291575,35.63231906285915,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
2.25,11122.434358686807,187.90798642479663,41.657654888396884,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
2.5,11102.473597279652,201.40941079859903,48.11699192174927,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
2.75,11081.117026399646,215.84253318240292,55.04044041795111,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
3.0,11058.274055622926,231.26591688097915,62.46002749609621,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
3.25,11033.849256820153,247.74094979096904,70.40979338887986,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
3.5,11007.742263501372,265.33184796068537,78.92588853794442,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
3.75,10979.847695012293,284.1056341761155,88.04667081159297,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
4.0,10950.055110792035,304.1320872215706,97.81280198639695,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
4.25,10918.249000484444,325.48365703092,108.26734248463843,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
4.5,10884.308816292445,348.23534051248066,119.45584319507631,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
4.75,10848.109054565719,372.46451240909016,131.42643302519284,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
5.0,10809.51939420131,398.2507051594356,144.2299006392553,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
5.25,10768.404899995317,425.675331375572,157.9197686291109,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
5.5,10724.626299588035,454.8213422668195,172.5523581451462,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
5.75,10678.04034306637,485.77281514806316,188.18684178556813,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
6.0,10628.500254592302,518.614463101416,204.88528230628282,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
6.25,10575.856285575512,553.4310599490948,222.712654475394,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
6.5,10519.956378857667,590.3067739811903,241.73684716114414,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
6.75,10460.646953075833,629.32440440742,262.02864251674754,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
7.0,10397.773815769464,670.5645153122837,283.6616689182526,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
7.25,10331.183212832824,714.1044630350632,306.7123241321123,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
7.5,10260.723020535039,760.0173144160191,331.2596650489426,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
7.75,10186.244084476954,808.3706552910539,357.3852602319933,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
8.0,10107.601707476528,859.2252910158489,385.17300150762327,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
8.25,10024.657285430145,912.6338436835623,414.7088708862931,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
8.5,9937.280086657798,968.6392540792858,446.08065926291556,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
8.75,9845.349166096867,1027.2732002812415,479.377633621891,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
9.0,9748.755400979158,1088.5544491392825,514.6901498815587,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
9.25,9647.40362935859,1152.4871615706884,552.1092090707215,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
9.5,9541.214867139965,1219.0591776103217,591.7259552497139,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
9.75,9430.128573224583,1288.2403122953474,633.6311144800687,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
10.0,9314.104926215425,1359.980698569353,677.9143752152213,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
10.25,9193.127070042277,1434.209218229178,724.6637117285428,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
10.5,9067.203280152487,1510.8320662423403,773.9646536051708,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
10.75,8936.368996884978,1589.7314972327692,825.8995058822513,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
11.0,8800.688668655283,1670.7648052450884,880.5465260996277,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
11.25,8660.257344995187,1753.7635887248834,937.9790662799277,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
11.5,8515.201958676093,1838.5333516815604,998.2646896423455,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
11.75,8365.682237434634,1924.8534889589653,1061.464273606399,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
12.0,8211.891189488744,2012.4776982218903,1127.6311122893635,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
12.25,8054.055113269662,2101.134853564595,1196.810033165741,0.95,1.1,1.1,0.433675,0.1375,9.5,0.045649999999999996,100.0,11352.0
