t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11350.0,2.0,0.0,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
0.25,11349.783200702519,2.16054929748062,0.05625,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
0.5,11349.549002391153,2.3339821598537855,0.11701544899164244,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
0.75,11349.296009598047,2.5213317047146466,0.18265869723753014,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
1.0,11349.022715079202,2.723713769364243,0.2535711514326296,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
1.25,11348.727490885623,2.9423335131785784,0.3301756011959989,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
1.5,11348.408578725273,3.1784925434712648,0.4129287312541464,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
1.75,11348.064079560185,3.4335966057739,0.5023238340392757,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
2.0,11347.691942378862,3.7091638825595554,0.5988937385766666,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
2.25,11347.28995207947,4.006833947754302,0.7032139727736542,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
2.5,11346.855716394513,4.328377427932047,0.8159061775542439,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
2.75,11346.386651782403,4.675706424881745,0.9376417927148327,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
3.0,11345.879968205798,5.050885758285936,1.0691460359146319,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
3.25,11345.332652710564,5.4561450915681515,1.2112021978664238,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
3.5,11344.741451712865,5.893892008566256,1.3646562785667782,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
3.75,11344.10285189511,6.366726113581064,1.5304219913077042,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
4.0,11343.413059604201,6.877454232545408,1.7094861632521716,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
4.25,11342.667978637888,7.429106798568154,1.9029145635425113,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
4.5,11341.863186296809,8.024955510938476,2.1118581922522406,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
4.75,11340.993907571168,8.668532362834231,2.337560065997385,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
5.0,11340.05498732183,9.363650139467849,2.581362538702098,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
5.25,11339.0408603059,10.114424495223801,2.8447151988746313,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
5.5,11337.945518886707,10.925297725489118,3.129183387802801,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
5.75,11336.762478257324,11.801064356343144,3.436457386332182,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
6.0,11335.484738995607,12.746898683038653,3.768362321354333,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
6.25,11334.104746756935,13.768384396249926,4.126868846814795,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
6.5,11332.614348898689,14.871546443350917,4.514104657959324,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
6.75,11331.004747817848,16.06288528047375,4.932366901678568,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
7.0,11329.266450770083,17.34941367972604,5.384135550191893,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
7.25,11327.389215925426,18.738696264640545,5.872087809934188,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
7.5,11325.361994402025,20.238891955598746,6.399113642377203,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
7.75,11323.172868005877,21.85879951549489,6.968332478628417,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
8.0,11320.808982390852,23.607906394145985,7.583111215001711,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
8.25,11318.256475339931,25.49644107773197,8.247083582337067,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
8.5,11315.500399855693,27.535429156658637,8.964170987648279,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
8.75,11312.5246417359,29.73675333142077,9.738604932679303,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
9.0,11309.311831298872,32.11321758100249,10.574951120125512,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
9.25,11305.843248913681,34.67861572172733,11.478135364591207,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
9.5,11302.098723982397,37.447804585837424,12.453471431764788,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
9.75,11298.056527016317,40.43678204794038,13.506690935741466,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
10.0,11293.69325444593,43.66277012322857,14.643975430839788,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
10.25,11288.983705806078,47.1443033533647,15.871990840555592,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
10.5,11283.900752944282,50.9013226833467,17.197924372368973,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
10.75,11278.415200912566,54.95527501459301,18.629524072838098,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
11.0,11272.495640222507,59.32921859486744,20.175141182623527,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
11.25,11266.108290171122,64.0479343732719,21.843775455604174,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
11.5,11259.21683298316,69.1380434069853,23.645123609852448,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
11.75,11251.78223856519,74.62813035413251,25.58963108067391,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
12.0,11243.762579730777,80.54887302233607,27.68854724688389,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
12.25,11235.112837836245,86.93317786311593,29.953984300637092,1.1,0.95,0.9,0.4336749999999999,0.1125,11.0,0.039424999999999995,2.0,11352.0
