t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11351.0,1.0,0.0,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
0.25,11350.906373873271,1.0623761267287704,0.03125,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
0.5,11350.80690853182,1.1286422142193429,0.06444925396027407,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
0.75,11350.701239930397,1.1990407464494284,0.09971932315462853,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
1.0,11350.588981344257,1.2738293092618576,0.13718934648117317,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
1.25,11350.469721958445,1.35328152915954,0.1769965123956062,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
1.5,11350.343025369584,1.4376880702349903,0.21928656018184184,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
1.75,11350.20842799482,1.5273576928054193,0.2642143123766853,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
2.0,11350.065437382185,1.622618377539989,0.31194424027685463,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
2.25,11349.913530416334,1.7238185190939799,0.3626510645749793,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
2.5,11349.7521514132,1.8313281935059529,0.4165203932966662,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
2.75,11349.58071009679,1.9455405038692106,0.47374939934372723,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
3.0,11349.398579450855,2.0668730090586953,0.53454754008964,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
3.25,11349.205093437802,2.195769240579628,0.5991373216227243,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
3.5,11348.999544576709,2.3327003129054824,0.6677551103908377,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
3.75,11348.781181371845,2.4781666329910763,0.740651995169134,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
4.0,11348.549205582573,2.632699714982474,0.8180947024501052,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
4.25,11348.302769324962,2.7968641064998443,0.9003665685433075,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
4.5,11348.040971994891,2.971259433243292,0.9877685718714276,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
4.75,11347.76285700178,3.1565225690657908,1.0806204291602806,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
5.0,11347.46740830149,3.3533299390726365,1.1792617594435866,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
5.25,11347.153546716223,3.5623999637441117,1.2840533200396065,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
5.5,11346.820126028562,3.784495652538268,1.39537831890661,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
5.75,11346.465928836044,4.020427355914697,1.513643808048431,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
6.0,11346.089662151857,4.2710556852287676,1.6392821629207652,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
6.25,11345.689952736442,4.537294610479909,1.7727526530841642,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
6.5,11345.265342143886,4.820114746457811,1.9145431096616614,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
6.75,11344.814281466099,5.120546838417833,2.065171695488468,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
7.0,11344.335125756785,5.439685459031882,2.2251887841890254,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
7.25,11343.826128116218,5.778692929004423,2.3951789547837716,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
7.5,11343.285433416775,6.138803474415355,2.57576310881516,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
7.75,11342.711071648062,6.521327634552771,2.7676007173906396,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
8.0,11342.100950859305,6.927656934729268,2.971392205970414,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
8.25,11341.452849675488,7.359268839335501,3.1878814851807036,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
8.5,11340.76440936242,7.817732001173887,3.417858636409938,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
8.75,11340.033125414624,8.304711823933374,3.6621627614466217,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
9.0,11339.256338638548,8.82197635551212,3.9216850059445396,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
9.25,11338.431225702183,9.371402530767762,4.197371767054293,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
9.5,11337.554789120692,9.954982783173065,4.490228096140786,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
9.75,11336.623846646115,10.574832045776173,4.801321308114945,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
10.0,11335.635020027654,11.233195162806723,5.13178480954545,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
10.25,11334.584723107395,11.93245473422865,5.48282215838316,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
10.5,11333.469149214665,12.67513941651342,5.855711368827805,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
10.75,11332.284257820524,13.463932703888977,6.251809475593849,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
11.0,11331.025760412113,14.30168221530391,6.67255737259038,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
11.25,11329.689105544861,15.191409513326459,7.1194849418186275,0.95,0.95,1.0,0.37453749999999997,0.125,9.5,0.039424999999999995,1.0,11352.0
