t,S,I,R
0.0,7210.0,1.0,0.0
0.25,7209.951401599212,1.024765067454664,0.023833333333333335
0.5,7209.901599991435,1.0501431077895358,0.04825690077433616
0.75,7209.850565412313,1.0761492761762148,0.07328531150998677
1.0,7209.798267362435,1.1027991016392327,0.09893353592551989
1.25,7209.7446745892485,1.1301084962360275,0.12521691451458827
1.5,7209.689755068531,1.1580937644602058,0.1521511670082136
1.75,7209.633475985398,1.186771612873415,0.1797524017278485
2.0,7209.57580371486,1.2161591599712727,0.20803712516799824
2.25,7209.516703801896,1.2462739462889232,0.23702225181398023
2.5,7209.456140941047,1.2771339447519139,0.2667251142005329
2.75,7209.3940789555045,1.3087575712782205,0.29716347321712017
3.0,7209.330480775697,1.3411636956373754,0.3283555286659178
3.25,7209.265308417349,1.3743716525727907,0.3603199300786086
3.5,7209.198522959008,1.4084012531935044,0.3930757877982601
3.75,7209.130084519025,1.4432727966417174,0.42664268433270525
4.0,7209.059952231971,1.479007082042631,0.4610406859859995
4.25,7208.988084224481,1.515625420743242,0.4962903547746822
4.5,7208.914437590516,1.553149648846895,0.5324127606357295
4.75,7208.838968366015,1.5916021400505511,0.5694294939332472
5.0,7208.761631502936,1.6310058187918774,0.6073626782711187
5.25,7208.682380842667,1.6713841737134234,0.6462349836189918
5.5,7208.601169088789,1.7127612714513067,0.6860696397591617
5.75,7208.517947779182,1.7551617707559972,0.7268904500620845
6.0,7208.432667257448,1.7986109369529477,0.7687218055984358
6.25,7208.345276643652,1.8431346567509956,0.8115886995958145
6.5,7208.255723804344,1.8887594534066228,0.8555167422483799
6.75,7208.163955321858,1.9355125022523427,0.9005321758879045
7.0,7208.069916462876,1.9834216465976566,0.9466618905249187
7.25,7207.973551146219,2.0325154140112023,0.9939334397688295
7.5,7207.874801909869,2.0828230329929034,1.0423750571360966
7.75,7207.7736098771975,2.1343744500451125,1.0920156727557608
8.0,7207.669914722364,2.1872003471519315,1.142884930481836
8.25,7207.5636546349,2.2413321596760856,1.1950132054222904
8.5,7207.45476628342,2.2968020946829206,1.2484316218945704
8.75,7207.343184778479,2.3536431497012975,1.3031720718178466
9.0,7207.228843634514,2.4118891319313533,1.359267233552394
9.25,7207.1116747308915,2.471574677909306,1.416750591196758
9.5,7206.991608272005,2.5327352736396898,1.4756564543535964
9.75,7206.868572746417,2.5954072752056145,1.5360199783753423
10.0,7206.742494885029,2.6596279298678582,1.5978771851010762
10.25,7206.613299618239,2.7254353976638215,1.6612649840962601
10.5,7206.480910032074,2.792868773517584,1.7262211944072479
10.75,7206.345247323283,2.861968109872536,1.7927845668427502
