t,S,I,R
0.0,7210.0,1.0,0.0
0.25,7209.958344227896,1.0189057721039978,0.022750000000000003
0.5,7209.915901166474,1.0381687272106568,0.045930106315365954
0.75,7209.872655950994,1.0577956041463634,0.06954844485940839
1.0,7209.828593436628,1.0777932685188023,0.09361329485373816
1.25,7209.7836981932,1.0981687150885118,0.11813309171254091
1.5,7209.737954499836,1.1189290701842798,0.14311642998080457
1.75,7209.69134633951,1.1400815941631706,0.16857206632749694
2.0,7209.64385739349,1.161633683915984,0.19450892259470906
2.25,7209.595471035678,1.1835928754189677,0.2209360889037977
2.5,7209.546170326848,1.205966846332612,0.24786282681957922
2.75,7209.4959380087785,1.2287634186483725,0.27529857257364615
3.0,7209.444756498268,1.2519905613841815,0.3032529403478966
3.25,7209.392607881052,1.2756563933296219,0.33173572561938675
3.5,7209.339473905591,1.2997691858416518,0.36075690856763565
3.75,7209.285335976763,1.3243373656917845,0.39032665754553325
4.0,7209.23017514942,1.349369517965643,0.4204553326150213
4.25,7209.1739721218355,1.3748743890158215,0.4511534891487397
4.5,7209.116707229032,1.4008608894690058,0.48243188149884964
4.75,7209.058360435977,1.4273380972883176,0.5143014667342696
5.0,7208.99891133066,1.4543152608918626,0.5467734084475788
5.25,7208.938339117039,1.4818018023284818,0.5798590806328687
5.5,7208.876622607852,1.5098073205117197,0.6135700716358417
5.75,7208.81374021731,1.5383415945130396,0.6479181881774833
6.0,7208.749669953632,1.5674145869153333,0.682915459452655
6.25,7208.684389411467,1.5970364472277903,0.7185741413049788
6.5,7208.617875764157,1.627217515363208,0.754906720479411
6.75,7208.550105755868,1.657968325178842,0.791925918953924
7.0,7208.481055693567,1.6892996080819136,0.8296446983517426
7.25,7208.410701438865,1.721222296700909,0.8680762644356061
7.5,7208.339018399692,1.753747528623824,0.9072340716855518
7.75,7208.265981521835,1.7868866502045244,0.9471318279617438
8.0,7208.191565280309,1.8206512204384122,0.9877834992538967
8.25,7208.1157436705735,1.8550530149086075,1.0292033145188706
8.5,7208.038490199589,1.890104029803872,1.0714057706080413
8.75,7207.959777876706,1.9258164860095226,1.1144056372860793
9.0,7207.879579204386,1.9622028332725991,1.158217962342796
9.25,7207.797866168758,1.9992757544425752,1.2028580767997477
9.5,7207.7146102299985,2.037048169788915,1.2483416002133163
9.75,7207.629782312528,2.0755332413968035,1.294684446076014
10.0,7207.543352795041,2.114744377642397,1.3419028273177913
10.25,7207.455291500343,2.1546952377489563,1.3900132619091559
10.5,7207.3655676850085,2.195399736425257,1.4390325785679445
10.75,7207.274150028842,2.236872048587675,1.488977922571619
11.0,7207.181006624157,2.2791266141673887,1.5398667616769888
11.25,7207.086104964847,2.322178143004135,1.5917168921492968
11.5,7206.98941193527,2.366041619828002,1.6445464449026408
11.75,7206.890893798916,2.410732309330744,1.6983738917537279
12.0,7206.790516186881,2.4562657613281402,1.7532180517910023
12.25,7206.6882440861245,2.502657816014926,1.8090980978612174
12.5,7206.584041827511,2.5499246093138668,1.8660335631755571
12.75,7206.4778730736425,2.598082578320546,1.9240443480374476
13.0,7206.369700806461,2.6471484668454752,1.98315072669424
