t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,10852.0,500.0,0.0,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
0.25,10802.409839675827,535.527660324172,14.0625,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
0.5,10749.53874766712,573.3370368862608,29.124215446617335,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
0.75,10693.211886589892,613.538793801064,45.24931960904342,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
1.0,10633.251292995275,656.2436088200265,62.50509818469834,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
1.25,10569.476818699286,701.5612316179519,80.96194968276158,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
1.5,10501.70723850613,749.5994021718543,100.69335932201648,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
1.75,10429.761535345371,800.4626221465296,121.77584250809988,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
2.0,10353.460372096992,854.2507741470379,144.28885375597102,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
2.25,10272.627756957472,911.0575862636715,168.31465677885646,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
2.5,10187.092906022215,970.9689425852623,193.93815139252223,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
2.75,10096.692302754158,1034.0610443431094,221.24665290273273,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
3.0,10001.271949124759,1100.3984311003585,250.3296197748827,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
3.25,9900.689797429963,1170.0318769204578,281.27832564958027,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
3.5,9794.818345117703,1242.9961826943297,314.1854721879681,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
3.75,9683.5473674824,1319.3078926913531,349.1447398262461,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
4.0,9566.786754913346,1398.9629707784625,386.2502743081904,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
4.25,9444.469412725297,1481.9344794133667,425.59610786133464,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
4.5,9316.554172725071,1568.1703121800915,467.27551509483555,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
4.75,9183.02865693102,1657.5910379440777,511.38030512490064,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
5.0,9043.912025694042,1750.0879212388782,558.0000530670778,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
5.25,8899.257535368122,1845.5211887799549,607.2212758519213,1.0,1.0,0.9,0.4149999999999999,0.1125,10.0,0.041499999999999995,500.0,11352.0
