t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,11351.0,1.0,0.0,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
0.25,11350.906373873271,1.0608136267287702,0.0328125,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
0.5,11350.807054821436,1.1253247314362118,0.06762044712703777,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
0.75,11350.701696816433,1.193758018688443,0.10454516487728847,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
1.0,11350.589932814117,1.266351836017063,0.143715349865503,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
1.25,11350.471373479873,1.3433590006406262,0.18526751948481288,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
1.5,11350.345605837225,1.425047676080631,0.22934648669333343,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
1.75,11350.212191834777,1.511702301657885,0.27610586356472916,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
2.0,11350.07066682663,1.60362457803059,0.3257085953378785,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
2.25,11349.920537961074,1.7011345121208894,0.3783275268045072,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
2.5,11349.761282472044,1.8045715249724323,0.4341460029834739,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
2.75,11349.592345867564,1.9142956262882656,0.49335850614663185,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
3.0,11349.413140009,2.0306886596166067,0.5561713313842156,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
3.25,11349.22304107459,2.1541556223823473,0.6228033030278854,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
3.5,11349.021387400408,2.2851260652050613,0.6934865343873062,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
3.75,11348.807477191398,2.4240555752004513,0.7684672334018473,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
4.0,11348.580566094804,2.5714273482321612,0.8480065569631121,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
4.25,11348.339864627807,2.7277538553653558,0.9323815168269799,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
4.5,11348.08453545072,2.893578609073034,1.0218859402061558,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
4.75,11347.813690476622,3.069478035061373,1.1168314883163646,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
5.0,11347.526387807746,3.2560634559121255,1.2175487363418158,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
5.25,11347.221628488422,3.453983193088885,1.3243883184889325,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
5.5,11346.898353063767,3.663924794220526,1.4377221420121615,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
5.75,11346.555437932717,3.8866173929599857,1.5579446743225225,0.95,0.95,1.05,0.37453749999999997,0.13125,9.5,0.039424999999999995,1.0,11352.0
