t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,10852.0,500.0,0.0,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
0.25,10807.368855708246,530.5686442917547,14.0625,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
0.5,10760.203861340799,562.8113955384969,28.984743120705602,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
0.75,10710.390985662994,596.7952007167813,44.81381362022583,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
1.0,10657.81482371225,632.5864976473665,61.5986786403853,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
1.25,10602.359107267195,670.2507188460883,79.39017388671749,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
1.5,10543.907288277223,709.8517363685144,98.24097535426372,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
1.75,10482.343198911592,751.4512456487803,118.2055554396282,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
2.0,10417.551791218646,795.1080870578554,139.34012172350015,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
2.25,10349.419958519817,840.8775048081824,161.70253667200234,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
2.5,10277.837439581454,888.8103439238146,185.35221649473246,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
2.75,10202.697805294409,938.9521872880013,210.35000741758975,1.0,0.9,0.9,0.37349999999999994,0.1125,10.0,0.037349999999999994,500.0,11352.0
