t,S,I,R
0.0,7210.0,1.0,0.0
0.25,7209.953715808773,1.0235341912266642,0.022750000000000003
0.5,7209.906342660651,1.047621936498798,0.046035402850406616
0.75,7209.857854956468,1.0722762416259202,0.06986880190575427
1.0,7209.808226496297,1.097510417300504,0.09426308640274396
1.25,7209.757430465392,1.1233380862121896,0.11923144839633043
1.5,7209.705439419816,1.1497731903264343,0.14478738985765774
1.75,7209.652225271731,1.1768299983313253,0.1709447299375841
2.0,7209.597759274344,1.2045231132563603,0.19771761239962177
2.25,7209.542012006506,1.2328674802670874,0.22512051322620397
2.5,7209.484953356958,1.261878394639576,0.2531682484022802
2.75,7209.4265525082,1.2915715099187763,0.28187598188033053
3.0,7209.366777920003,1.3219628462649151,0.3112592337309827
3.25,7209.305597312524,1.3530687989921601,0.3413338884835095
3.5,7209.242977649035,1.384906147303881,0.3721162036605811
3.75,7209.178885118259,1.4174920632289223,0.4036228185117444
4.0,7209.1132851162865,1.4508441207633993,0.4358707629502024
4.25,7209.04614222808,1.4849803052226278,0.46887746669756974
4.5,7208.977420208551,1.5199190228078876,0.5026607686413845
4.75,7208.907081963197,1.5556791103928278,0.5372389264102639
5.0,7208.835089528294,1.592279845534416,0.5726306261717008
5.25,7208.761404050629,1.6297409567134424,0.6088549926576088
5.5,7208.685985766767,1.6680826338096881,0.6459315994228396
5.75,7208.608793981841,1.7073255388169808,0.68388047934201
6.0,7208.529787047846,1.7474908168034613,0.7227221353500963
6.25,7208.448922341445,1.7886001071225028,0.7624775514323751
6.5,7208.366156241251,1.8306755548798308,0.803168203869412
6.75,7208.281444104595,1.8737398226625086,0.8448160727429281
7.0,7208.194740243756,1.9178161025355682,0.8874436537085002
7.25,7208.105997901647,1.962928128312186,0.9310739700411844
7.5,7208.015169226937,2.00910018810342,0.9757305849602866
7.75,7207.9222052486075,2.056357137153648,1.0214376142396395
8.0,7207.8270558499225,2.104724410967973,1.068219739109885
8.25,7207.729669741803,2.154228038737979,1.1161022194594066
8.5,7207.629994435588,2.204894657072361,1.1651109073406956
8.75,7207.527976215173,2.2567515240390703,1.2152722607890918
9.0,7207.423560108515,2.3098265335257535,1.2666133579609806
9.25,7207.316689858478,2.364148229925396,1.3191619115986915
9.5,7207.207307893018,2.4197458231542175,1.3729462838294941
9.75,7207.095355294687,2.4766492040089987,1.4279955013062526
10.0,7206.980771769433,2.5348889598711675,1.4843392706974574
10.25,7206.863495614702,2.5944963907651006,1.5420079945345264
10.5,7206.743463686798,2.655503525778252,1.6010327874244326
10.75,7206.620611367514,2.7179431398508527,1.6614454926358877
11.0,7206.494872529991,2.7818487709430855,1.7232786990674946
11.25,7206.366179503807,2.8472547375877717,1.7865657586064498
11.5,7206.234463039278,2.9141961568367707,1.8513408038865717
11.75,7206.099652270937,2.982708962609432,1.9176387664546082
12.0,7205.961674680196,3.052829924451605,1.9854953953539727
12.25,7205.820456057152,3.1245966667138547,2.0549472761352465
12.5,7205.675920461541,3.198047688157697,2.126031850302987
12.75,7205.527990182794,3.273222381998817,2.1987874352085743
13.0,7205.376585699207,3.350161056396404,2.2732532443990476
13.25,7205.221625636173,3.4289049553978797,2.349469408432066
13.5,7205.0630267234865,3.509496280348479,2.4274769961673677
13.75,7204.900703751682,3.591978211775288,2.5073180365452954
14.0,7204.734569527384,3.6763949317555165,2.589035540863183
14.25,7204.564534827664,3.762791646778946,2.6726735255606213
14.5,7204.390508353364,3.851214611114658,2.7582770355248423
14.75,7204.212396681383,3.9417111506923166,2.8458921679277007
15.0,7204.030104215889,4.034329687508442,2.935566096605951
15.25,7203.843533138438,4.129119764568284,3.027347096996768
15.5,7203.6525833569885,4.226132071374071,3.1212845716406967
15.75,7203.457152453769,4.325418469970576,3.217429076264457
16.0,7203.257135631989,4.4270320215591115,3.3158323464562875
16.25,7203.052425661366,4.531027013691228,3.4165473249467575
16.5,7202.8429128224425,4.637458988053568,3.519628189508233
16.75,7202.6284848496625,4.746384768855495,3.6251303814864517
17.0,7202.409026873195,4.857862491831249,3.733110634977914
17.25,7202.184421359469,4.971951633868616,3.843627006667075
17.5,7201.95454805039,5.088713043276178,3.956738906337586
17.75,7201.7192839012305,5.208208970701443,4.072507128072119
18.0,7201.478503017136,5.330503100712277,4.190993882155577
18.25,7201.232076588253,5.455660584054223,4.312262827696781
18.5,7200.979872823424,5.5837480705964575,4.436379105984014
18.75,7200.721756882434,5.714833742979292,4.5634093745900834
19.0,7200.4575908067845,5.848987350976251,4.693421842242862
19.25,7200.187233448942,5.9862802465839415,4.826486304477572
19.5,7199.910540400063,6.126785419853042,4.962674180087356
19.75,7199.62736391614,6.270577535473891,5.102058548389013
20.0,7199.337552842551,6.417732970130296,5.244714187321044
20.25,7199.040952536976,6.568329850635288,5.390717612391509
20.5,7198.737404790647,6.722448092862703,5.540147116493461
20.75,7198.426747747909,6.880169441488564,5.693082810606088
21.0,7198.108815824047,7.041577510556351,5.8496066653999526
21.25,7197.783439621358,7.206757824880364,6.00980255376511
21.5,7197.450445843421,7.375797862301462,6.173756294281138
21.75,7197.109657207546,7.548787096809562,6.341555695648497
22.0,7196.760892355355,7.725817042547345,6.5132906021009145
22.25,7196.403965761475,7.906981298709699,6.6890529398188665
22.5,7196.038687640285,8.092375595353467,6.868936764364512
22.75,7195.664863850712,8.282097840132147,7.053038309158803
23.0,7195.282295799011,8.47624816597018,7.24145603502181
23.25,7194.890780339514,8.674928979691515,7.4342906807976314
23.5,7194.4901096733,8.878245011617144,7.631645315085613
23.75,7194.080071244757,9.08630336614627,7.833625389099903
24.0,7193.660447635988,9.299213573335777,8.04033879067973
24.25,7193.231016459038,9.5170876414926,8.25189589947312
24.5,7192.791550245893,9.740040110793556,8.468409643317075
24.75,7192.3418163362185,9.968188107947118,8.689995555837628
25.0,7191.881576762798,10.201651401911482,8.916771835293424
25.25,7191.410588134633,10.44055246068322,9.148859404686911
25.5,7190.928601517665,10.685016509170595,9.386381973167454
25.75,7190.435362313086,10.935171588165511,9.629466098751085
26.0,7189.930610133193,11.191148614427833,9.87824125238185
26.25,7189.4140786747475,11.453081441895613,10.132839883360083
26.5,7188.885495589806,11.721106924034505,10.393397486163208
26.75,7188.34458235398,11.995364977339378,10.660052668684992
27.0,7187.791054132083,12.275998646000799,10.932947221919463
27.25,7187.224619641139,12.56315416774875,11.212226191115981
27.5,7186.644981010686,12.856981040885534,11.498037948432264
27.75,7186.051833640372,13.157632092519405,11.79053426711241
28.0,7185.444866054777,13.46526354801003,12.089870397217226
28.25,7184.8237597554335,13.780035101636344,12.396205142934454
28.5,7184.188189070011,14.102109988496839,12.709700941496681
28.75,7183.5378209986175,14.43165505765175,13.030523943734984
29.0,7182.872315057191,14.768840846515928,13.358844096296561
29.25,7182.191323117939,15.113841656510525,13.6948352255548
29.5,7181.494489246783,15.46683562998084,14.038675123240413
29.75,7180.781449537795,15.828004828386929,14.390545633822477
30.0,7180.051831944564,16.19753531177264,14.750632743668278
30.25,7179.305256108476,16.575617219517902,15.119126672011106
30.5,7178.541333183872,16.962444852378,15.496221963755138
30.75,7177.759665660045,17.35821675581263,15.882117584146737
31.0,7176.959847180057,17.763135804606293,16.277017015341475
31.25,7176.141462356329,18.177409288780442,16.681128354896266
31.5,7175.304086582993,18.601249000796503,17.09466441621602
31.75,7174.4472858449735,19.034871324047504,17.51784283098414
32.0,7173.570616523764,19.478497322634603,17.95088615360622
32.25,7172.6736251998855,19.93235283242329,18.39402196769616
32.5,7171.755848451999,20.39666855337237,18.84748299463379
32.75,7170.816812652654,20.871680143127055,19.311507204223012
33.0,7169.85603376066,21.357628311865827,19.786337927479153
33.25,7168.8730171100415,21.854758918388526,20.2722239715741
33.5,7167.867257195605,22.363323067431306,20.76941973696744
33.75,7166.83823745506,22.88357720819178,21.278185336751502
34.0,7165.78543004772,23.41578323404544,21.798786718237864
34.25,7164.708295629759,23.960208583431974,22.331495786812397
