t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11350.0,2.0,0.0,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
0.25,11349.813282901692,2.121092098308668,0.065625,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
0.5,11349.615264078402,2.2495125871230424,0.1352233344757532,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
0.75,11349.405259965806,2.3857045679535847,0.20903546624072802,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
1.0,11349.18254571947,2.5301378831538908,0.287316397376705,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
1.25,11348.94635272995,2.6833107233824824,0.37033654666769206,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
1.5,11348.695865989319,2.8457513309029636,0.45838267977867975,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
1.75,11348.43022130034,3.0180198043375714,0.5517588953239332,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
2.0,11348.148502319042,3.2007100108056714,0.6507876701537597,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
2.25,11347.849737420906,3.394451611711516,0.7558109673833208,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
2.5,11347.532896380313,3.5999122087952378,0.8671914108926049,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
2.75,11347.196886852329,3.817799617428185,0.9853135302436986,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
3.0,11346.840550645291,4.048864274518957,1.110585080190561,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
3.25,11346.462659772002,4.293901788800433,1.2434384391982143,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
3.5,11346.061912266667,4.553755641691264,1.3843320916432285,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
3.75,11345.636927753996,4.829320047368285,1.533752198636223,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
4.0,11345.186242756161,5.121542981149496,1.692214262690495,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
4.25,11344.70830572247,5.431429385771199,1.8602648917594629,1.0,0.9,1.05,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.0,11352.0
