t,S,I,R
0.0,7210.0,1.0,0.0
0.25,7209.956030018335,1.0244699816653309,0.0195
0.5,7209.910984366736,1.0495384686220521,0.03947716464247395
0.75,7209.864836749265,1.0752200859545444,0.059943164780603964
1.0,7209.817560228092,1.101529815451665,0.08090995645671759
1.25,7209.769127207869,1.12848300427332,0.10238978785802505
1.5,7209.719509419733,1.1560953738259427,0.1243952064413548
1.75,7209.668677904918,1.1843830288518336,0.14693906623096067
2.0,7209.6166029979695,1.2133624667374265,0.17003453529357143
2.25,7209.56325430956,1.243050587045665,0.19369510339495125
2.5,7209.50860070888,1.2734647012777873,0.2179345898423417
2.75,7209.452610305613,1.3046225428699445,0.24276715151725856
3.0,7209.395250431467,1.3365422774301912,0.2682072911032225
3.25,7209.336487621265,1.3692425132215222,0.29426986551311124
3.5,7209.276287593582,1.4027423118967524,0.32097009452093095
3.75,7209.214615230906,1.4370611994911666,0.3483235696029176
4.0,7209.151434559328,1.4722191776790048,0.37634626299299534
4.25,7209.086708727742,1.5082367352999786,0.4050545369577359
4.5,7209.020399986542,1.545134860162158,0.4344651532960855
4.75,7208.952469665803,1.5829350511277056,0.4645952830692476
5.0,7208.8828781529455,1.6216593304880853,0.49546251656623785
5.25,7208.8115848698535,1.6613302566355121,0.5270848735107555
5.5,7208.738548249447,1.7019709370375675,0.559480813515148
5.75,7208.663725711691,1.7436050415220528,0.5926692467873805
6.0,7208.587073639024,1.7862568158793117,0.6266695450970605
6.25,7208.5085473512045,1.8299510957894118,0.6615015530067071
6.5,7208.428101079544,1.874713321081735,0.6971855993746007
6.75,7208.34568794053,1.9205695503346951,0.7337425091356945
7.0,7208.26125990881,1.9675464758234675,0.7711936153672211
7.25,7208.174767789531,2.015671438823785,0.8095607716457787
7.5,7208.086161190017,2.064972445280034,0.8488663647028425
7.75,7207.995388490768,2.1154781818460564,0.8891333273858032
8.0,7207.902396815761,2.167218032307244,0.9303851519318013
8.25,7207.807132002045,2.220222094392709,0.9726459035617925
8.5,7207.709538568611,2.274521196986474,1.0159402344024504
8.75,7207.609559684509,2.3301469177468497,1.0602933977436866
9.0,7207.507137136216,2.3871316011433317,1.1057312626397502
9.25,7207.402211294217,2.445508376920563,1.1522803288620451
9.5,7207.294721078788,2.505311178999104,1.199967742211996
9.75,7207.184603924974,2.566574764822954,1.2488213102024786
10.0,7207.071795746719,2.6293347351639764,1.2988695181165262
10.25,7206.956230900153,2.693627554393588,1.3501415454522236
10.5,7206.837842146004,2.759490571232289,1.4026672827628985
10.75,7206.716560611109,2.8269620399878255,1.4564773489019283
11.0,7206.592315749024,2.8960811422929957,1.5116031086816908
11.25,7206.465035299688,2.9668880093543337,1.5680766909564041
11.5,7206.334645248136,3.0394237447231314,1.6259310071388136
11.75,7206.201069782237,3.1137304476004903,1.6851997701609147
12.0,7206.064231249421,3.1898512366883254,1.7459175138891243
12.25,7205.924050112396,3.267830274598477,1.8081196130045467
12.5,7205.780444903808,3.3477127928323305,1.871842303359217
12.75,7205.6333321798365,3.4295451173435825,1.9371227028194475
13.0,7205.482626472695,3.5133746946970317,2.0039988326076474
13.25,7205.328240242009,3.599250118836533,2.0725096391542395
13.5,7205.170083825053,3.687221158475488,2.142695016471552
13.75,7205.008065385814,3.7773387851235065,2.2145958290618237
14.0,7204.842090862864,3.8696552017631345,2.288253935371732
14.25,7204.672063916002,3.9642238721907854,2.363712211806113
14.5,7204.497885871649,4.061099551036288,2.4410145773138336
14.75,7204.319455666964,4.160338314475718,2.5202060185590414
15.0,7204.136669792655,4.261997591652445,2.6013326156913177
15.25,7203.949422234448,4.3661361968216035,2.6844415687285403
15.5,7203.757604413198,4.4728143622334375,2.7695812245665614
15.75,7203.561105123597,4.582093771771281,2.8568011046301134
16.0,7203.359810471459,4.694037595360163,2.9461519331796535
16.25,7203.153603809547,4.808710524162326,3.0376856662891765
16.5,7202.942365671913,4.926178806576212,3.131455521510342
16.75,7202.725973706705,5.0465102850557475,3.227516008238578
17.0,7202.504302607435,5.169774433767014,3.325922958797165
17.25,7202.277224042644,5.2960423970997,3.426733560255622
17.5,7202.044606583949,5.425387029050974,3.530006386999066
17.75,7201.806315632433,5.557882933499699,3.63580143406556
18.0,7201.562213343341,5.693606505389191,3.7441801512688038
