t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,11342.0,10.0,0.0,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
0.25,11341.020426169398,10.667073830602536,0.3125,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
0.5,11339.975597778466,11.378556164327556,0.6458460572063293,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
0.75,11338.861183137902,12.137390924756897,1.0014259373415655,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
1.0,11337.672565118273,12.946715477987865,1.3807194037402186,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
1.25,11336.40482263083,13.80987310674479,1.7853042624273394,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
1.5,11335.052710946924,14.73042625606507,2.216862797013114,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
1.75,11333.610640788802,15.712170593685165,2.6771886175151476,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
2.0,11332.072656121436,16.759149929997683,3.168193948567809,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
2.25,11330.432410571959,17.875672044162215,3.691917383880236,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
2.5,11328.683142400132,19.066325464608333,4.250532135260306,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
2.75,11326.817647940228,20.335997253743315,4.846354806029316,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
3.0,11324.828253431653,21.68989184813964,5.481854720208794,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
3.25,11322.706785152744,23.13355100679324,6.159663840463158,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
3.5,11320.444537769403,24.67287492117177,6.882587309425446,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
3.75,11318.032240807623,26.314144541665943,7.653614650712064,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
4.0,11315.4600231567,28.064045175661597,8.475931667639125,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
4.25,11312.717375507918,29.92969141270304,9.35293307937855,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
4.5,11309.793110631927,31.91865343204799,10.28823593602552,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
4.75,11306.675321396984,34.03898474723854,11.28569385577702,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
5.0,11303.351336429832,36.29925144103826,12.349412129128224,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
5.25,11299.807673321231,38.7085629421064,13.48376373666067,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
5.5,11296.029989279421,41.276604391975965,14.693406328601494,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
5.75,11292.00302913701,44.013670647137765,15.983300215850743,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
6.0,11287.710570620271,46.930701956153996,17.3587274235738,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
6.25,11283.135366794733,50.039321345561184,18.82531185970361,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
6.5,11278.259085607566,53.351873740680695,20.3890406517524,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
6.75,11273.06224645573,56.88146683812086,22.056286706148672,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
7.0,11267.524153719669,60.64201373548951,23.83383254483995,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
7.25,11261.622827215551,64.64827731037389,25.728895474073997,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
7.5,11255.334929535282,68.91591632469448,27.74915414002318,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
7.75,11248.63569026305,73.46153321177867,29.902776525169884,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
8.0,11241.498827080386,78.30272348157585,32.19844943803797,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
8.25,11233.896463799198,83.45812665396521,34.645409546837215,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
8.5,11225.799045394553,88.94747860067334,37.253476004773624,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
8.75,11217.175250146482,94.79166514247345,40.033084711044665,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
9.0,11207.99189904365,101.01277670960121,42.99532424674696,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
9.25,11198.213862651892,107.63416382918518,46.151973518922,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
9.5,11187.803965707997,114.68049315341707,49.515541138584034,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
9.75,11176.722889764747,122.1778036856217,53.09930654962832,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
10.0,11164.929074287436,130.15356279775733,56.917362914803995,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
10.25,11152.378616686156,138.63672156160766,60.98466175223391,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
10.5,11139.025171862517,147.6577688364462,65.31705930103415,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
10.75,11124.819851955108,157.24878346771675,69.9313645771731,0.9,1.05,1.0,0.39217499999999994,0.125,9.0,0.043574999999999996,10.0,11352.0
