I0,peak_I,peak_I_fraction,time_to_peak,total_infected,attack_rate,beta,gamma,contact_rate,infection_prob,R0_eff,S_eq,I_eq,R_eq,S_crit,S_crit_fraction,scenario_id,scale_contact,scale_infection_prob,scale_gamma,csv_path,plot_path,heatmap_path,scenario_wall_time
1.0,3435.3982037467817,0.3026249298578913,41.5,10686.165734824554,0.9413465235046294,0.37349999999999994,0.125,9.0,0.041499999999999995,2.9879999999999995,11352.0,0.0,0.0,3799.196787148595,0.3346720214190094,13.0,0.9,1.0,1.0,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1250_timeseries.png,,2.696858200011775
1.0,3229.865321600106,0.2845194962649847,42.25,10565.678730435806,0.930732798664183,0.37349999999999994,0.13125,9.0,0.041499999999999995,2.845714285714285,11352.0,0.0,0.0,3989.1566265060246,0.35140562248995993,14.0,0.9,1.0,1.05,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1313_timeseries.png,,3.0249015998560935
1.0,3033.2284327154,0.26719771253659264,43.0,10434.940717561643,0.9192160603912652,0.37349999999999994,0.1375,9.0,0.041499999999999995,2.716363636363636,11352.0,0.0,0.0,4179.116465863454,0.3681392235609104,15.0,0.9,1.0,1.1,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1375_timeseries.png,,2.3534828000701964
1.0,4079.7066363342137,0.35938219136136484,38.0,10974.655383398984,0.9667596356059711,0.39217499999999994,0.1125,9.0,0.043574999999999996,3.4859999999999993,11352.0,0.0,0.0,3256.4543889845104,0.28686173264486525,16.0,0.9,1.05,0.9,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1125_timeseries.png,,3.1888142998795956
1.0,3856.3101773043027,0.33970315163004783,38.5,10888.960733824539,0.9592107764116049,0.39217499999999994,0.11875,9.0,0.043574999999999996,3.3025263157894735,11352.0,0.0,0.0,3437.3685217058714,0.30279849556957994,17.0,0.9,1.05,0.95,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1187_timeseries.png,,2.528445700183511
1.0,3642.322729229143,0.32085295359664756,39.0,10793.499601180416,0.9508015857276617,0.39217499999999994,0.125,9.0,0.043574999999999996,3.1373999999999995,11352.0,0.0,0.0,3618.2826544272334,0.3187352584942947,18.0,0.9,1.05,1.0,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1250_timeseries.png,,1.8441206999123096
1.0,3437.2699997995455,0.30278981675471683,39.75,10688.41683635307,0.9415448234983325,0.39217499999999994,0.13125,9.0,0.043574999999999996,2.9879999999999995,11352.0,0.0,0.0,3799.196787148595,0.3346720214190094,19.0,0.9,1.05,1.05,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1313_timeseries.png,,4.361742099979892
1.0,3241.4060992821155,0.28553612572957326,40.25,10573.876007546403,0.9314548984801272,0.39217499999999994,0.1375,9.0,0.043574999999999996,2.8521818181818177,11352.0,0.0,0.0,3980.110919869957,0.35060878434372417,20.0,0.9,1.05,1.1,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1375_timeseries.png,,0.49725879984907806
1.0,4272.253046192438,0.37634364395634584,36.0,11039.375931870005,0.9724608819476749,0.41084999999999994,0.1125,9.0,0.045649999999999996,3.6519999999999992,11352.0,0.0,0.0,3108.4337349397597,0.27382256297918955,21.0,0.9,1.1,0.9,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1125_timeseries.png,,0.9919354000594467
1.0,4050.580905251997,0.35681649975792784,36.5,10965.370353888424,0.9659417154588111,0.41084999999999994,0.11875,9.0,0.045649999999999996,3.4597894736842103,11352.0,0.0,0.0,3281.1244979919684,0.2890349275891445,22.0,0.9,1.1,0.95,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1187_timeseries.png,,1.1561201000586152
1.0,3838.4128659780554,0.33812657381765815,36.75,10882.430213653934,0.9586355015551387,0.41084999999999994,0.125,9.0,0.045649999999999996,3.2867999999999995,11352.0,0.0,0.0,3453.815261044177,0.30424729219909946,23.0,0.9,1.1,1.0,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1250_timeseries.png,,1.4851253000088036
1.0,3634.775701045028,0.3201881343415282,37.25,10790.644446427692,0.9505500745619884,0.41084999999999994,0.13125,9.0,0.045649999999999996,3.130285714285714,11352.0,0.0,0.0,3626.506024096386,0.31945965680905447,24.0,0.9,1.1,1.05,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1313_timeseries.png,,1.3100606999360025
1.0,3439.2463339405176,0.30296391243309706,38.0,10690.126401168924,0.9416954194123435,0.41084999999999994,0.1375,9.0,0.045649999999999996,2.987999999999999,11352.0,0.0,0.0,3799.1967871485954,0.3346720214190094,25.0,0.9,1.1,1.1,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1375_timeseries.png,,4.030452099861577
1.0,3660.11086733718,0.32241991431793343,43.0,10798.235374733154,0.951218760987769,0.35482499999999995,0.1125,9.5,0.037349999999999994,3.1539999999999995,11352.0,0.0,0.0,3599.2390615091954,0.3170577045022195,26.0,0.95,0.9,0.9,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1125_timeseries.png,,4.038407100131735
1.0,3433.4320175075104,0.3024517281102458,43.75,10682.900488294783,0.9410588872705059,0.35482499999999995,0.11875,9.5,0.037349999999999994,2.9879999999999995,11352.0,0.0,0.0,3799.196787148595,0.3346720214190094,27.0,0.95,0.9,0.95,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1187_timeseries.png,,4.049877200042829
1.0,3217.316055249652,0.28341402882748873,44.5,10555.88200069331,0.929869802739016,0.35482499999999995,0.125,9.5,0.037349999999999994,2.8385999999999996,11352.0,0.0,0.0,3999.1545127879945,0.35228633833579936,28.0,0.95,0.9,1.0,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1250_timeseries.png,,4.033246099948883
1.0,3011.2820973357484,0.26526445536784254,45.25,10417.45596264001,0.9176758247568719,0.35482499999999995,0.13125,9.5,0.037349999999999994,2.703428571428571,11352.0,0.0,0.0,4199.112238427395,0.36990065525258936,29.0,0.95,0.9,1.05,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1313_timeseries.png,,4.011190099874511
1.0,2814.678182430921,0.2479455763240769,46.0,10267.900255916024,0.9045014319869648,0.35482499999999995,0.1375,9.5,0.037349999999999994,2.580545454545454,11352.0,0.0,0.0,4399.0699640667945,0.38751497216937936,30.0,0.95,0.9,1.1,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1375_timeseries.png,,4.004307300085202
1.0,3887.4678817403305,0.34244784018149493,40.25,10900.355526989435,0.9602145460702463,0.37453749999999997,0.1125,9.5,0.039424999999999995,3.3292222222222216,11352.0,0.0,0.0,3409.805426692922,0.30037045689683944,31.0,0.95,0.95,0.9,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1125_timeseries.png,,3.991943599889055
1.0,3662.3782937472365,0.3226196523737876,40.75,10801.831500787095,0.9515355444667983,0.37453749999999997,0.11875,9.5,0.039424999999999995,3.154,11352.0,0.0,0.0,3599.239061509195,0.31705770450221943,32.0,0.95,0.95,0.95,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1187_timeseries.png,,3.969188699964434
1.0,3447.179238478042,0.3036627236150495,41.5,10692.682957175444,0.9419206269534394,0.37453749999999997,0.125,9.5,0.039424999999999995,2.9962999999999997,11352.0,0.0,0.0,3788.672696325468,0.3337449521075994,33.0,0.95,0.95,1.0,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1250_timeseries.png,,3.9618355000857264
1.0,3241.5018568360974,0.28554456103207343,42.0,10573.113740568899,0.9313877502262948,0.37453749999999997,0.13125,9.5,0.039424999999999995,2.853619047619047,11352.0,0.0,0.0,3978.106331141742,0.3504321997129794,34.0,0.95,0.95,1.05,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1313_timeseries.png,,3.9531866000033915
1.0,3045.0740961140455,0.268241199446269,42.75,10443.339585226446,0.9199559183603282,0.37453749999999997,0.1375,9.5,0.039424999999999995,2.7239090909090904,11352.0,0.0,0.0,4167.539965958015,0.3671194473183594,35.0,0.95,0.95,1.1,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1375_timeseries.png,,3.9434242001734674
1.0,4101.648963799414,0.3613150954721118,37.75,10982.49959608909,0.9674506339049586,0.39424999999999993,0.1125,9.5,0.041499999999999995,3.504444444444444,11352.0,0.0,0.0,3239.315155358276,0.2853519340519975,36.0,0.95,1.0,0.9,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1125_timeseries.png,,3.9469886999577284
1.0,3878.4715289797523,0.3416553496282375,38.25,10898.194028386219,0.960024139216545,0.39424999999999993,0.11875,9.5,0.041499999999999995,3.3199999999999994,11352.0,0.0,0.0,3419.2771084337355,0.30120481927710846,37.0,0.95,1.0,0.95,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1187_timeseries.png,,3.9474470000714064
1.0,3664.6777394160695,0.3228222110126911,38.75,10804.218091979868,0.9517457797727157,0.39424999999999993,0.125,9.5,0.041499999999999995,3.1539999999999995,11352.0,0.0,0.0,3599.2390615091954,0.3170577045022195,38.0,0.95,1.0,1.0,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1250_timeseries.png,,3.9470573000144213
