t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,11347.0,5.0,0.0,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
0.25,11346.53203433178,5.296090668219256,0.171875,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
0.5,11346.0363770525,5.609694830778363,0.353928116720037,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
0.75,11345.51139272161,5.941845901860705,0.5467613765280432,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
1.0,11344.955349700604,6.293637969990148,0.751012329404505,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
1.25,11344.366414542108,6.66622932326709,0.9673561346229164,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
1.5,11343.742646057502,7.060846174885329,1.1965077676102225,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
1.75,11343.081989045377,7.4787865997497365,1.4392243548719057,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
2.0,11342.382267662231,7.9214246935293735,1.696307644238303,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
2.25,11341.64117841591,8.39021496601073,1.9686066180783752,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
2.5,11340.856282761304,8.886696981160279,2.257020257534994,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
2.75,11340.024999276873,9.412500256863453,2.5625004662623785,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
3.0,11339.14459539953,9.969349437876932,2.8860551625920596,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
3.25,11338.212178694368,10.559069756111176,3.228751549519079,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
3.5,11337.224687634665,11.183592792948108,3.5917195723854007,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
3.75,11336.178881866463,11.844962558892297,3.976155574642992,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
4.0,11335.071331930943,12.545341906449721,4.383326162604915,0.95,0.95,1.1,0.37453749999999997,0.1375,9.5,0.039424999999999995,5.0,11352.0
