t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,10852.0,500.0,0.0,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
0.25,10809.600412922833,527.555837077167,14.84375,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
0.5,10765.038901732827,556.4555343539439,30.505563913228393,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
0.75,10718.23005864448,586.7446037661582,47.0253375893611,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
1.0,10669.087924126388,618.4677578599416,64.44431801366892,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
1.25,10617.526346659317,651.6685737655462,82.80507957513593,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
1.5,10563.459385215338,686.3891244258609,102.15149035880059,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
1.75,10506.801755965667,722.6695765441391,122.52866749019333,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
2.0,10447.469324326546,760.5477551296067,143.98292054384746,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
2.25,10385.379642963946,800.0586750117968,166.56168202425766,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
2.5,10320.452535792956,841.2340402683735,190.31342393867038,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
2.75,10252.610727321931,884.1017131689307,215.2875595091377,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
3.0,10181.780515902441,928.6851549787186,241.53432911884033,0.9,0.95,0.95,0.35482499999999995,0.11875,9.0,0.039424999999999995,500.0,11352.0
