t,S,I,R,scale_contact,scale_infection_prob,scale_gamma,beta,gamma,contact_rate,infection_prob,I0,N
0.0,10852.0,500.0,0.0,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
0.25,10799.93033165962,534.8821683403805,17.1875,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
0.5,10744.495326055214,571.9305994080858,35.57407453670058,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
0.75,10685.524884989052,611.2409261195944,55.234188891353526,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
1.0,10622.847148076127,652.9072561971577,76.24559572671458,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
1.25,10556.289579283733,697.0211380577747,98.68928265849189,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
1.5,10485.680220748061,743.67039497271,122.6493842792279,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
1.75,10410.84912168428,792.9378242093055,148.2130541064148,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
2.0,10331.629947769967,844.8997604164232,175.4702918136097,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
2.25,10247.861773237972,899.6245056841042,204.51372107792423,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
2.5,10159.39105400598,957.1706325332038,235.43831346081532,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
2.75,10066.073775459401,1017.5851705864536,268.34105395414423,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
3.0,9967.777762983133,1080.901692823813,303.3205441930536,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
3.25,9864.38513703632,1147.138323079805,340.4765398838722,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
3.5,9755.794887559478,1216.2956927007795,379.9094197397405,1.0,1.05,1.1,0.43574999999999997,0.1375,10.0,0.043574999999999996,500.0,11352.0
