t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11342.0,10.0,0.0,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
0.25,11341.015243239077,10.672256760923185,0.3125,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
0.5,11339.964376787368,11.389615188852744,0.6460080237788495,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
0.75,11338.84297803214,12.155088469428101,1.0019334984304977,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
1.0,11337.646330654185,12.971889332714445,1.3817800131001259,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
1.25,11336.369405422722,13.843443022530435,1.7871515547474524,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
1.5,11335.00683977634,14.773401074456716,2.2197591492015283,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
1.75,11333.552916119112,15.765655948109782,2.6814279327783006,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
2.0,11332.001538757713,16.82435656113038,3.1741046811567313,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
2.25,11330.346209402143,17.953924774164754,3.699865823692056,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
2.5,11328.580001149228,19.15907287788709,4.260925972884705,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
2.75,11326.695530864887,20.444822134794826,4.8596470003186765,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
3.0,11324.684929877896,21.816522430072844,5.498547692031015,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
3.25,11322.5398128948,23.27987308722977,6.180314017970791,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
3.5,11320.251245042638,24.840944905415803,6.907810051946721,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
3.75,11317.809706943475,26.506203476285574,7.684089580240965,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
4.0,11315.205057722214,28.282533838912446,8.512408438874889,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
4.25,11312.426495847136,30.177266531524698,9.396237621340903,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
4.5,11309.46251770091,32.19820509864108,10.33927720045105,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
4.75,11306.300873778773,34.35365511144461,11.345471109783585,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
5.0,11302.928522410139,36.652454757847124,12.419022832016228,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
5.25,11299.331580900254,39.10400705654831,13.564412043198951,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
5.5,11295.495273989936,41.71831374634977,14.786412263716086,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
5.75,11291.403879533813,44.50601089790005,16.090109568289517,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
6.0,11287.0406713014,47.47840628975318,17.480922408848894,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
6.25,11282.387858810665,50.64751858393352,18.96462260540368,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
6.5,11277.426524110948,54.026118327903475,20.547357561151603,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
6.75,11272.136555441411,57.62777079969365,22.235673758898585,1.0,0.95,1.0,0.39424999999999993,0.125,10.0,0.039424999999999995,10.0,11352.0
