t,S,I,R,scale_contact,scale_infection_prob,scale_delta,beta,delta,contact_rate,infection_prob,I0,N
0.0,11342.0,10.0,0.0,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
0.25,11340.911584632664,10.775915367336152,0.3125,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
0.5,11339.738829996539,11.61192264823272,0.6492473552292548,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
0.75,11338.475222457322,12.512657604691423,1.0121199379865273,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
1.0,11337.113748814607,13.48311069726072,1.4031404881331344,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
1.25,11335.64685855027,14.528653752308514,1.824487697422532,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
1.5,11334.066423315024,15.655068557794847,2.2785081271821728,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
1.75,11332.363693465884,16.868577514503922,2.767729019613262,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
2.0,11330.529251457112,18.17587647594843,3.2948720669415095,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
2.25,11328.552961876849,19.584169916337537,3.862868206814898,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
2.5,11326.423917911288,21.101208572011817,4.474873516700446,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
2.75,11324.130384007942,22.73532970748362,5.134286284575815,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
3.0,11321.65973449952,24.495500162546467,5.844765337934678,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
3.25,11318.998387940315,26.391362341672913,6.610249718014256,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
3.5,11316.131736897894,28.433283310916828,7.434979791191534,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
3.75,11313.044072934796,30.632407170548696,8.323519894657684,1.05,1.0,1.0,0.43574999999999997,0.125,10.5,0.041499999999999995,10.0,11352.0
