I0,peak_I,peak_I_fraction,time_to_peak,total_infected,attack_rate,beta,gamma,contact_rate,infection_prob,R0_eff,scenario_id,scale_contact,scale_infection_prob,scale_gamma,csv_path,plot_path,heatmap_path,scenario_wall_time
1.0,3650.623671971862,0.3215841853393113,41.0,10798.6172201441,0.9512523978280568,0.37349999999999994,0.11875,9.0,0.041499999999999995,3.1452631578947363,12.0,0.9,1.0,0.95,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1187_timeseries.png,,2.945756900124252
1.0,4079.7066363342137,0.35938219136136484,38.0,10976.705590948515,0.9669402388080087,0.39217499999999994,0.1125,9.0,0.043574999999999996,3.4859999999999993,16.0,0.9,1.05,0.9,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1125_timeseries.png,,3.152722100028768
1.0,3437.2699997995455,0.30278981675471683,39.75,10689.507333845142,0.9416408856452733,0.39217499999999994,0.13125,9.0,0.043574999999999996,2.9879999999999995,19.0,0.9,1.05,1.05,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1313_timeseries.png,,3.339690900174901
1.0,3856.3101773043027,0.33970315163004783,38.5,10890.57057830184,0.9593525879406132,0.39217499999999994,0.11875,9.0,0.043574999999999996,3.3025263157894735,17.0,0.9,1.05,0.95,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1187_timeseries.png,,3.5543587000574917
1.0,3033.2284327154,0.26719771253659264,43.0,10436.534498556033,0.919356456884781,0.37349999999999994,0.1375,9.0,0.041499999999999995,2.716363636363636,15.0,0.9,1.0,1.1,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0415_beta_0.3735_gamma_0.1375_timeseries.png,,3.76045270008035
1.0,3642.322729229143,0.32085295359664756,39.0,10794.804121654755,0.9509165012028502,0.39217499999999994,0.125,9.0,0.043574999999999996,3.1373999999999995,18.0,0.9,1.05,1.0,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1250_timeseries.png,,3.9481585000175983
1.0,3241.4060992821155,0.28553612572957326,40.25,10574.815902812777,0.9315376940462278,0.39217499999999994,0.1375,9.0,0.043574999999999996,2.8521818181818177,20.0,0.9,1.05,1.1,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0436_beta_0.3922_gamma_0.1375_timeseries.png,,4.140879200072959
1.0,4050.580905251997,0.35681649975792784,36.5,10966.477032385119,0.9660392029937561,0.41084999999999994,0.11875,9.0,0.045649999999999996,3.4597894736842103,22.0,0.9,1.1,0.95,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1187_timeseries.png,,4.332175799878314
1.0,4272.253046192438,0.37634364395634584,36.0,11040.835202887998,0.97258942942988,0.41084999999999994,0.1125,9.0,0.045649999999999996,3.6519999999999992,21.0,0.9,1.1,0.9,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1125_timeseries.png,,4.539499600185081
1.0,3838.4128659780554,0.33812657381765815,36.75,10883.295662981816,0.9587117391633031,0.41084999999999994,0.125,9.0,0.045649999999999996,3.2867999999999995,23.0,0.9,1.1,1.0,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1250_timeseries.png,,4.736026499886066
1.0,3634.775701045028,0.3201881343415282,37.25,10791.342188657736,0.95061153881763,0.41084999999999994,0.13125,9.0,0.045649999999999996,3.130285714285714,24.0,0.9,1.1,1.05,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1313_timeseries.png,,4.947396100033075
1.0,3660.11086733718,0.32241991431793343,43.0,10802.76935531266,0.951618160263624,0.35482499999999995,0.1125,9.5,0.037349999999999994,3.1539999999999995,26.0,0.95,0.9,0.9,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1125_timeseries.png,,5.141035699984059
1.0,3439.2463339405176,0.30296391243309706,38.0,10690.706126658719,0.9417464875492176,0.41084999999999994,0.1375,9.0,0.045649999999999996,2.987999999999999,25.0,0.9,1.1,1.1,sir_data\sir_1_initial_infection_contact_rate_9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.0000_infection_prob_0.0456_beta_0.4108_gamma_0.1375_timeseries.png,,5.3419940997846425
1.0,3433.4320175075104,0.3024517281102458,43.75,10686.743803082363,0.9413974456555994,0.35482499999999995,0.11875,9.5,0.037349999999999994,2.9879999999999995,27.0,0.95,0.9,0.95,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1187_timeseries.png,,5.537554699927568
1.0,3217.316055249652,0.28341402882748873,44.5,10559.247942277014,0.9301663092210195,0.35482499999999995,0.125,9.5,0.037349999999999994,2.8385999999999996,28.0,0.95,0.9,1.0,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1250_timeseries.png,,5.73028440005146
1.0,3011.2820973357484,0.26526445536784254,45.25,10420.49931163334,0.9179439139916614,0.35482499999999995,0.13125,9.5,0.037349999999999994,2.703428571428571,29.0,0.95,0.9,1.05,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1313_timeseries.png,,5.92923350003548
1.0,2814.678182430921,0.2479455763240769,46.0,10270.738649139264,0.9047514666260804,0.35482499999999995,0.1375,9.5,0.037349999999999994,2.580545454545454,30.0,0.95,0.9,1.1,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0373_beta_0.3548_gamma_0.1375_timeseries.png,,6.13142400002107
1.0,3662.3782937472365,0.3226196523737876,40.75,10804.208036367287,0.9517448939717483,0.37453749999999997,0.11875,9.5,0.039424999999999995,3.154,32.0,0.95,0.95,0.95,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1187_timeseries.png,,6.341814500046894
1.0,3887.4678817403305,0.34244784018149493,40.25,10903.278141542807,0.9604719997835454,0.37453749999999997,0.1125,9.5,0.039424999999999995,3.3292222222222216,31.0,0.95,0.95,0.9,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1125_timeseries.png,,6.557514099869877
1.0,3447.179238478042,0.3036627236150495,41.5,10694.67853642563,0.9420964179374234,0.37453749999999997,0.125,9.5,0.039424999999999995,2.9962999999999997,33.0,0.95,0.95,1.0,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1250_timeseries.png,,6.5542460000142455
1.0,3241.5018568360974,0.28554456103207343,42.0,10574.843157972888,0.9315400949588519,0.37453749999999997,0.13125,9.5,0.039424999999999995,2.853619047619047,34.0,0.95,0.95,1.05,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1313_timeseries.png,,6.553435999900103
1.0,3045.0740961140455,0.268241199446269,42.75,10444.885357153214,0.9200920857252656,0.37453749999999997,0.1375,9.5,0.039424999999999995,2.7239090909090904,35.0,0.95,0.95,1.1,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0394_beta_0.3745_gamma_0.1375_timeseries.png,,6.549218900036067
1.0,4101.648963799414,0.3613150954721118,37.75,10984.470386387315,0.9676242412250982,0.39424999999999993,0.1125,9.5,0.041499999999999995,3.504444444444444,36.0,0.95,1.0,0.9,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1125_timeseries.png,,6.5536843000445515
1.0,3878.4715289797523,0.3416553496282375,38.25,10899.735371530593,0.9601599164491361,0.39424999999999993,0.11875,9.5,0.041499999999999995,3.3199999999999994,37.0,0.95,1.0,0.95,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1187_timeseries.png,,6.558770400006324
1.0,3664.6777394160695,0.3228222110126911,38.75,10805.462043483807,0.9518553597149231,0.39424999999999993,0.125,9.5,0.041499999999999995,3.1539999999999995,38.0,0.95,1.0,1.0,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1250_timeseries.png,,6.553433099994436
1.0,3459.6453779799735,0.30476086839147054,39.25,10701.745679291638,0.9427189639967969,0.39424999999999993,0.13125,9.5,0.041499999999999995,3.0038095238095233,39.0,0.95,1.0,1.05,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1313_timeseries.png,,6.544191399822012
1.0,3263.8852980726274,0.287516322945087,40.0,10588.716608928586,0.9327622100888465,0.39424999999999993,0.1375,9.5,0.041499999999999995,2.8672727272727268,40.0,0.95,1.0,1.1,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0415_beta_0.3942_gamma_0.1375_timeseries.png,,6.541062399977818
1.0,4303.046617606479,0.37905625595546855,35.5,11050.355343765294,0.9734280605853852,0.41396249999999996,0.1125,9.5,0.043574999999999996,3.679666666666666,41.0,0.95,1.05,0.9,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1125_timeseries.png,,6.54514370020479
1.0,4082.448199325183,0.3596236962055306,36.0,10977.790476615086,0.9670358066080943,0.41396249999999996,0.11875,9.5,0.043574999999999996,3.4859999999999998,42.0,0.95,1.05,0.95,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1187_timeseries.png,,6.543123299954459
1.0,3870.5343313008616,0.3409561602625847,36.5,10896.530819510617,0.9598776268067845,0.41396249999999996,0.125,9.5,0.043574999999999996,3.3116999999999996,43.0,0.95,1.05,1.0,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1250_timeseries.png,,6.535552999936044
1.0,3667.09303650157,0.32303497502656536,37.0,10806.619672336297,0.9519573354771227,0.41396249999999996,0.13125,9.5,0.043574999999999996,3.1539999999999995,44.0,0.95,1.05,1.05,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1313_timeseries.png,,6.51917690015398
1.0,3471.802150670737,0.30583176098227066,37.5,10708.139305131544,0.9432821798036949,0.41396249999999996,0.1375,9.5,0.043574999999999996,3.010636363636363,45.0,0.95,1.05,1.1,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0436_beta_0.4140_gamma_0.1375_timeseries.png,,6.513148299884051
1.0,4494.046269121652,0.39588145429190025,33.75,11104.015421688602,0.9781549878161206,0.433675,0.1125,9.5,0.045649999999999996,3.8548888888888886,46.0,0.95,1.1,0.9,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1125_timeseries.png,,6.512357899919152
1.0,4275.1641350737755,0.37660008237084,34.0,11041.815886986777,0.9726758180925631,0.433675,0.11875,9.5,0.045649999999999996,3.652,47.0,0.95,1.1,0.95,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1187_timeseries.png,,6.492527100024745
1.0,4065.4581101486174,0.3581270357777147,34.5,10971.696086883067,0.9664989505710947,0.433675,0.125,9.5,0.045649999999999996,3.4694,48.0,0.95,1.1,1.0,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1250_timeseries.png,,6.485802199924365
1.0,3863.289329745649,0.3403179465949303,35.0,10893.653447818371,0.9596241585463682,0.433675,0.13125,9.5,0.045649999999999996,3.3041904761904757,49.0,0.95,1.1,1.05,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1313_timeseries.png,,6.485839700093493
1.0,3668.979307582505,0.32320113703158077,35.25,10807.727249796779,0.9520549022019713,0.433675,0.1375,9.5,0.045649999999999996,3.1539999999999995,50.0,0.95,1.1,1.1,sir_data\sir_1_initial_infection_contact_rate_9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate9.5000_infection_prob_0.0456_beta_0.4337_gamma_0.1375_timeseries.png,,6.485469599952921
1.0,4485.817375436271,0.395156569365422,32.0,11101.93145676588,0.9779714109201797,0.45649999999999996,0.11875,10.0,0.045649999999999996,3.8442105263157895,72.0,1.0,1.1,0.95,sir_data\sir_1_initial_infection_contact_rate_10.0000_infection_prob_0.0456_beta_0.4565_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate10.0000_infection_prob_0.0456_beta_0.4565_gamma_0.1187_timeseries.png,,0.3293239001650363
1.0,4513.547834214318,0.3975993511464339,33.5,11109.055881575605,0.9785990029576819,0.43574999999999997,0.1125,10.0,0.043574999999999996,3.873333333333333,66.0,1.0,1.05,0.9,sir_data\sir_1_initial_infection_contact_rate_10.0000_infection_prob_0.0436_beta_0.4357_gamma_0.1125.csv,sir_plots\sir_1_initial_infection_contact_rate10.0000_infection_prob_0.0436_beta_0.4357_gamma_0.1125_timeseries.png,,0.5588767998851836
1.0,4294.765938046355,0.3783268092007007,34.0,11047.85482235337,0.9732077891431793,0.43574999999999997,0.11875,10.0,0.043574999999999996,3.6694736842105264,67.0,1.0,1.05,0.95,sir_data\sir_1_initial_infection_contact_rate_10.0000_infection_prob_0.0436_beta_0.4357_gamma_0.1187.csv,sir_plots\sir_1_initial_infection_contact_rate10.0000_infection_prob_0.0436_beta_0.4357_gamma_0.1187_timeseries.png,,0.7836738000623882
1.0,3229.865321600106,0.2845194962649847,42.25,10567.457960008764,0.9308895313608847,0.37349999999999994,0.13125,10.0,0.037349999999999994,2.845714285714285,54.0,1.0,0.9,1.05,sir_data\sir_1_initial_infection_contact_rate_10.0000_infection_prob_0.0373_beta_0.3735_gamma_0.1313.csv,sir_plots\sir_1_initial_infection_contact_rate10.0000_infection_prob_0.0373_beta_0.3735_gamma_0.1313_timeseries.png,,0.9905238000210375
1.0,3880.7173627107886,0.3418531855805839,36.5,10900.854148445122,0.9602584697361806,0.4149999999999999,0.125,10.0,0.041499999999999995,3.3199999999999994,63.0,1.0,1.0,1.0,sir_data\sir_1_initial_infection_contact_rate_10.0000_infection_prob_0.0415_beta_0.4150_gamma_0.1250.csv,sir_plots\sir_1_initial_infection_contact_rate10.0000_infection_prob_0.0415_beta_0.4150_gamma_0.1250_timeseries.png,,1.1843453999608755
1.0,3263.8852980726274,0.287516322945087,40.0,10588.716608928586,0.9327622100888465,0.39424999999999993,0.1375,10.0,0.039424999999999995,2.8672727272727268,60.0,1.0,0.95,1.1,sir_data\sir_1_initial_infection_contact_rate_10.0000_infection_prob_0.0394_beta_0.3942_gamma_0.1375.csv,sir_plots\sir_1_initial_infection_contact_rate10.0000_infection_prob_0.0394_beta_0.3942_gamma_0.1375_timeseries.png,,1.3941144000273198
