t,S,I,R,beta,delta,contact_rate,infection_prob,I0
0.0,11347.0,5.0,0.0,0.12,0.0857142857142857,2.0,0.06,5
0.25,11346.850066067653,5.042791075203866,0.10714285714285712,0.12,0.0857142857142857,2.0,0.06,5
0.5,11346.698850966583,5.085946367519377,0.21520266589722564,0.12,0.0857142857142857,2.0,0.06,5
0.75,11346.546343826507,5.129468942576183,0.32418723091549795,0.12,0.0857142857142857,2.0,0.06,5
1.0,11346.392533686243,5.173361891214242,0.43410442254213044,0.12,0.0857142857142857,2.0,0.06,5
1.25,11346.237409492966,5.217628329680865,0.5449621773538642,0.12,0.0857142857142857,2.0,0.06,5
1.5,11346.080960101466,5.262271399829122,0.6567684987041684,0.12,0.0857142857142857,2.0,0.06,5
1.75,11345.92317427341,5.307294269317612,0.7695314572719353,0.12,0.0857142857142857,2.0,0.06,5
2.0,11345.764040676573,5.352700131811612,0.8832591916144555,0.12,0.0857142857142857,2.0,0.06,5
2.25,11345.60354788409,5.398492207185594,0.9979599087247043,0.12,0.0857142857142857,2.0,0.06,5
2.5,11345.44168437368,5.444673741727135,1.113641884592967,0.12,0.0857142857142857,2.0,0.06,5
2.75,11345.278438526884,5.491248008342209,1.2303134647728342,0.12,0.0857142857142857,2.0,0.06,5
3.0,11345.113798628287,5.538218306761885,1.3479830649515958,0.12,0.0857142857142857,2.0,0.06,5
3.25,11344.947752864724,5.585587963750414,1.4666591715250648,0.12,0.0857142857142857,2.0,0.06,5
3.5,11344.780289324508,5.633360333314736,1.5863503421768592,0.12,0.0857142857142857,2.0,0.06,5
3.75,11344.611395996622,5.681538796915392,1.707065206462175,0.12,0.0857142857142857,2.0,0.06,5
4.0,11344.441060769925,5.730126763678856,1.8288124663960763,0.12,0.0857142857142857,2.0,0.06,5
4.25,11344.269271432342,5.779127670611299,1.9516008970463374,0.12,0.0857142857142857,2.0,0.06,5
4.5,11344.096015670055,5.828544982813769,2.075439347130865,0.12,0.0857142857142857,2.0,0.06,5
4.75,11343.921281066681,5.8783821936988225,2.2003367396197318,0.12,0.0857142857142857,2.0,0.06,5
5.0,11343.74505510245,5.928642825208585,2.3263020723418495,0.12,0.0857142857142857,2.0,0.06,5
5.25,11343.56732515337,5.979330428034265,2.4533444185963194,0.12,0.0857142857142857,2.0,0.06,5
5.5,11343.388078490394,6.030448581837115,2.5814729277684823,0.12,0.0857142857142857,2.0,0.06,5
5.75,11343.207302278579,6.082000895470855,2.710696825950706,0.12,0.0857142857142857,2.0,0.06,5
6.0,11343.024983576228,6.133991007205551,2.8410254165679385,0.12,0.0857142857142857,2.0,0.06,5
6.25,11342.84110933404,6.18642258495297,2.9724680810080573,0.12,0.0857142857142857,2.0,0.06,5
6.5,11342.65566639425,6.239299326493399,3.1050342792570493,0.12,0.0857142857142857,2.0,0.06,5
6.75,11342.468641489757,6.292624959703946,3.2387335505390507,0.12,0.0857142857142857,2.0,0.06,5
7.0,11342.28002124325,6.346403242788319,3.373575513961278,0.12,0.0857142857142857,2.0,0.06,5
7.25,11342.089792166327,6.400637964508099,3.509569869163885,0.12,0.0857142857142857,2.0,0.06,5
7.5,11341.89794065861,6.455332944415497,3.6467263969747727,0.12,0.0857142857142857,2.0,0.06,5
