t,S,I,R,beta,delta,contact_rate,infection_prob,I0
0.0,10852.0,500.0,0.0,0.12,0.0857142857142857,2.0,0.06,500
0.25,10837.660676532769,503.6250377529447,10.714285714285714,0.12,0.0857142857142857,2.0,0.06,500
0.5,10823.23647656614,507.25727262486777,21.50625080899167,0.12,0.0857142857142857,2.0,0.06,500
0.75,10808.72758276044,510.89636773146356,32.376049508095974,0.12,0.0857142857142857,2.0,0.06,500
1.0,10794.134190419449,514.5419807639237,43.32382881662733,0.12,0.0857142857142857,2.0,0.06,500
1.25,10779.45650757862,518.1937640169551,54.3497284044257,0.12,0.0857142857142857,2.0,0.06,500
1.5,10764.694755089933,521.8513644195647,65.45388049050331,0.12,0.0857142857142857,2.0,0.06,500
1.75,10749.849166703296,525.5144235686406,76.6364097280654,0.12,0.0857142857142857,2.0,0.06,500
2.0,10734.91998914439,529.1825777653612,87.89743309025056,0.12,0.0857142857142857,2.0,0.06,500
2.25,10719.907482188892,532.8554580544583,99.23705975665115,0.12,0.0857142857142857,2.0,0.06,500
2.5,10704.811918732963,536.5326902663622,110.65539100067525,0.12,0.0857142857142857,2.0,0.06,500
2.75,10689.633584859937,540.2138950622524,122.15252007781159,0.12,0.0857142857142857,2.0,0.06,500
3.0,10674.372779903104,543.8986879820367,133.72853211485986,0.12,0.0857142857142857,2.0,0.06,500
3.25,10659.02981650453,547.5866794952815,145.38350400018922,0.12,0.0857142857142857,2.0,0.06,500
3.5,10643.605020669802,551.2774750551101,157.1175042750881,0.12,0.0857142857142857,2.0,0.06,500
3.75,10628.098731818642,554.9706751550887,168.93059302626904,0.12,0.0857142857142857,2.0,0.06,500
4.0,10612.511302831294,558.6658753891129,180.82282177959237,0.12,0.0857142857142857,2.0,0.06,500
4.25,10596.843100090615,562.3626665143114,192.79423339507338,0.12,0.0857142857142857,2.0,0.06,500
4.5,10581.09450351979,566.0606345169741,204.84486196323718,0.12,0.0857142857142857,2.0,0.06,500
4.75,10565.265906615597,569.7593606815173,216.97473270288663,0.12,0.0857142857142857,2.0,0.06,500
5.0,10549.357716477163,573.4584216624904,229.18386186034772,0.12,0.0857142857142857,2.0,0.06,500
