t,S,I,R,beta,delta,contact_rate,infection_prob,I0
0.0,11347.0,5.0,0.0,0.12,0.07857142857142857,2.0,0.06,5
0.25,11346.850066067653,5.051719646632438,0.09821428571428571,0.12,0.07857142857142857,2.0,0.06,5
0.5,11346.698583230957,5.1039722759848765,0.19744449305885145,0.12,0.07857142857142857,2.0,0.06,5
0.75,11346.54553556977,5.1567633388925636,0.2977010913371258,0.12,0.07857142857142857,2.0,0.06,5
1.0,11346.390907002009,5.210098341068541,0.39899465692251546,0.12,0.07857142857142857,2.0,0.06,5
1.25,11346.234681282025,5.26398284363801,0.5013358743363618,0.12,0.07857142857142857,2.0,0.06,5
1.5,11346.076841998985,5.31842246367751,0.6047355373363942,0.12,0.07857142857142857,2.0,0.06,5
1.75,11345.917372575224,5.373422874758961,0.7092045500157739,0.12,0.07857142857142857,2.0,0.06,5
2.0,11345.756256264587,5.428989807498593,0.8147539279128249,0.12,0.07857142857142857,2.0,0.06,5
2.25,11345.593476150756,5.4851290501108005,0.9213947991315472,0.12,0.07857142857142857,2.0,0.06,5
2.5,11345.429015145559,5.541846448966965,1.0291384054730093,0.12,0.07857142857142857,2.0,0.06,5
2.75,11345.262855987261,5.599147909159274,1.1379961035777175,0.12,0.07857142857142857,2.0,0.06,5
3.0,11345.09498123885,5.657039395069568,1.2479793660790603,0.12,0.07857142857142857,2.0,0.06,5
3.25,11344.925373286287,5.715526930943266,1.359099782767927,0.12,0.07857142857142857,2.0,0.06,5
3.5,11344.75401433676,5.774616601468386,1.4713690617685984,0.12,0.07857142857142857,2.0,0.06,5
3.75,11344.580886416912,5.834314552359714,1.5847990307260131,0.12,0.07857142857142857,2.0,0.06,5
4.0,11344.405971371045,5.894626990948144,1.6994016380045076,0.12,0.07857142857142857,2.0,0.06,5
4.25,11344.229250859324,5.95556018677523,1.8151889538981318,0.12,0.07857142857142857,2.0,0.06,5
4.5,11344.05070635595,6.017120472192992,1.9321731718526454,0.12,0.07857142857142857,2.0,0.06,5
4.75,11343.870319147329,6.079314242968991,2.050366609699293,0.12,0.07857142857142857,2.0,0.06,5
5.0,11343.6880703302,6.14214795889674,2.1697817109004696,0.12,0.07857142857142857,2.0,0.06,5
5.25,11343.503940809778,6.205628144411457,2.29043104580737,0.12,0.07857142857142857,2.0,0.06,5
5.5,11343.317911297856,6.2697613892112125,2.4123273129297376,0.12,0.07857142857142857,2.0,0.06,5
5.75,11343.129962310895,6.334554348883503,2.535483340217815,0.12,0.07857142857142857,2.0,0.06,5
6.0,11342.940074168102,6.4000137455372865,2.659912086356598,0.12,0.07857142857142857,2.0,0.06,5
6.25,11342.748226989483,6.466146368440513,2.785626642072509,0.12,0.07857142857142857,2.0,0.06,5
6.5,11342.55440069388,6.532959074663188,2.9126402314525905,0.12,0.07857142857142857,2.0,0.06,5
6.75,11342.358574996993,6.600458789726005,3.0409662132763318,0.12,0.07857142857142857,2.0,0.06,5
7.0,11342.160729409381,6.668652508254583,3.1706180823602352,0.12,0.07857142857142857,2.0,0.06,5
7.25,11341.960843234441,6.737547294639335,3.301609470915236,0.12,0.07857142857142857,2.0,0.06,5
7.5,11341.758895566378,6.807150283701021,3.43395414991708,0.12,0.07857142857142857,2.0,0.06,5
7.75,11341.554865288144,6.877468681361999,3.5676660304897787,0.12,0.07857142857142857,2.0,0.06,5
8.0,11341.34873106937,6.948509765323231,3.7027591653022465,0.12,0.07857142857142857,2.0,0.06,5
8.25,11341.140471364271,7.020280885747058,3.8392477499782385,0.12,0.07857142857142857,2.0,0.06,5
8.5,11340.930064409531,7.092789465945796,3.9771461245196984,0.12,0.07857142857142857,2.0,0.06,5
8.75,11340.717488222177,7.166043003076174,4.116468774743634,0.12,0.07857142857142857,2.0,0.06,5
9.0,11340.502720597424,7.240049068839657,4.25723033373263,0.12,0.07857142857142857,2.0,0.06,5
9.25,11340.285739106508,7.314815310188689,4.399445583299123,0.12,0.07857142857142857,2.0,0.06,5
9.5,11340.066521094494,7.390349450038885,4.543129455463544,0.12,0.07857142857142857,2.0,0.06,5
9.75,11339.845043678062,7.466659287987202,4.6882970339464505,0.12,0.07857142857142857,2.0,0.06,5
10.0,11339.621283743285,7.54375270103614,4.83496355567477,0.12,0.07857142857142857,2.0,0.06,5
10.25,11339.395217943369,7.621637644323986,4.983144412302266,0.12,0.07857142857142857,2.0,0.06,5
10.5,11339.16682269639,7.700322151861148,5.132855151744344,0.12,0.07857142857142857,2.0,0.06,5
10.75,11338.936074182995,7.779814337272606,5.284111479727331,0.12,0.07857142857142857,2.0,0.06,5
11.0,11338.702948344097,7.860122394546516,5.436929261352328,0.12,0.07857142857142857,2.0,0.06,5
11.25,11338.467420878533,7.941254598788993,5.591324522673778,0.12,0.07857142857142857,2.0,0.06,5
11.5,11338.229467240717,8.023219306985121,5.747313452292848,0.12,0.07857142857142857,2.0,0.06,5
11.75,11337.989062638262,8.106024958766199,5.90491240296577,0.12,0.07857142857142857,2.0,0.06,5
12.0,11337.746182029583,8.18968007718327,6.064137893227248,0.12,0.07857142857142857,2.0,0.06,5
12.25,11337.500800121477,8.274193269486975,6.225006609029062,0.12,0.07857142857142857,2.0,0.06,5
12.5,11337.252891366687,8.359573227913724,6.387535405393985,0.12,0.07857142857142857,2.0,0.06,5
12.75,11337.00242996143,8.445828730478262,6.551741308085147,0.12,0.07857142857142857,2.0,0.06,5
13.0,11336.749389842931,8.532968641772623,6.71764151529097,0.12,0.07857142857142857,2.0,0.06,5
13.25,11336.493744686897,8.621001913771536,6.88525339932579,0.12,0.07857142857142857,2.0,0.06,5
13.5,11336.235467905004,8.709937586644271,7.054594508346302,0.12,0.07857142857142857,2.0,0.06,5
13.75,11335.974532642338,8.799784789572989,7.225682568083957,0.12,0.07857142857142857,2.0,0.06,5
14.0,11335.710911774824,8.890552741577613,7.3985354835934265,0.12,0.07857142857142857,2.0,0.06,5
14.25,11335.44457790663,8.982250752347243,7.5731713410172725,0.12,0.07857142857142857,2.0,0.06,5
14.5,11335.175503367549,9.074888223078148,7.74960840936695,0.12,0.07857142857142857,2.0,0.06,5
14.75,11334.903660210355,9.168474647318362,7.927865142320271,0.12,0.07857142857142857,2.0,0.06,5
15.0,11334.62902020814,9.263019611818917,8.107960180035453,0.12,0.07857142857142857,2.0,0.06,5
15.25,11334.35155485162,9.358532797391712,8.289912350981897,0.12,0.07857142857142857,2.0,0.06,5
15.5,11334.071235346433,9.455023979774086,8.473740673787805,0.12,0.07857142857142857,2.0,0.06,5
15.75,11333.78803261039,9.552503030500088,8.659464359104796,0.12,0.07857142857142857,2.0,0.06,5
16.0,11333.501917270727,9.650979917778468,8.847102811489618,0.12,0.07857142857142857,2.0,0.06,5
16.25,11333.212859661315,9.750464707377445,9.036675631303124,0.12,0.07857142857142857,2.0,0.06,5
16.5,11332.920829819852,9.850967563516232,9.228202616626609,0.12,0.07857142857142857,2.0,0.06,5
16.75,11332.625797485036,9.95249874976337,9.421703765195678,0.12,0.07857142857142857,2.0,0.06,5
17.0,11332.327732093701,10.055068629941886,9.617199276351744,0.12,0.07857142857142857,2.0,0.06,5
17.25,11332.026602777942,10.158687669041287,9.814709553011317,0.12,0.07857142857142857,2.0,0.06,5
17.5,11331.722378362205,10.263366434136424,10.0142552036532,0.12,0.07857142857142857,2.0,0.06,5
17.75,11331.415027360357,10.369115595313232,10.215857044323737,0.12,0.07857142857142857,2.0,0.06,5
18.0,11331.104517972733,10.475945926601376,10.419536100660247,0.12,0.07857142857142857,2.0,0.06,5
18.25,11330.79081808315,10.583868306913814,10.625313609932775,0.12,0.07857142857142857,2.0,0.06,5
18.5,11330.473895255898,10.692893720993299,10.833211023104296,0.12,0.07857142857142857,2.0,0.06,5
18.75,11330.15371673272,10.803033260365822,11.04325000690952,0.12,0.07857142857142857,2.0,0.06,5
19.0,11329.830249429742,10.914298124301043,11.25545244595242,0.12,0.07857142857142857,2.0,0.06,5
19.25,11329.503459934393,11.02669962077968,11.46984044482262,0.12,0.07857142857142857,2.0,0.06,5
19.5,11329.173314502295,11.140249167467916,11.68643633023079,0.12,0.07857142857142857,2.0,0.06,5
19.75,11328.839779054131,11.254958292698786,11.905262653163197,0.12,0.07857142857142857,2.0,0.06,5
20.0,11328.502819172478,11.370838636460615,12.126342191055494,0.12,0.07857142857142857,2.0,0.06,5
20.25,11328.162400098616,11.487901951392452,12.34969794998597,0.12,0.07857142857142857,2.0,0.06,5
20.5,11327.818486729318,11.606160103786568,12.575353166888322,0.12,0.07857142857142857,2.0,0.06,5
20.75,11327.471043613612,11.725625074597986,12.80333131178413,0.12,0.07857142857142857,2.0,0.06,5
21.0,11327.120034949497,11.846308960461062,13.03365609003516,0.12,0.07857142857142857,2.0,0.06,5
21.25,11326.765424580664,11.968223974713135,13.266351444615646,0.12,0.07857142857142857,2.0,0.06,5
21.5,11326.407175993163,12.091382448425232,13.501441558404654,0.12,0.07857142857142857,2.0,0.06,5
21.75,11326.045252312055,12.215796831439837,13.738950856498722,0.12,0.07857142857142857,2.0,0.06,5
22.0,11325.679616298034,12.341479693415732,13.97890400854486,0.12,0.07857142857142857,2.0,0.06,5
22.25,11325.310230344021,12.468443724879904,14.221325931094098,0.12,0.07857142857142857,2.0,0.06,5
22.5,11324.937056471732,12.596701738286525,14.466241789975667,0.12,0.07857142857142857,2.0,0.06,5
22.75,11324.560056328219,12.72626666908298,14.713677002692009,0.12,0.07857142857142857,2.0,0.06,5
23.0,11324.179191182377,12.85715157678298,14.96365724083471,0.12,0.07857142857142857,2.0,0.06,5
23.25,11323.794421921426,12.98936964604671,15.216208432521519,0.12,0.07857142857142857,2.0,0.06,5
23.5,11323.40570904737,13.122934187768033,15.47135676485458,0.12,0.07857142857142857,2.0,0.06,5
23.75,11323.013012673424,13.257858640168745,15.729128686400024,0.12,0.07857142857142857,2.0,0.06,5
24.0,11322.616292520404,13.394156569899842,15.989550909689052,0.12,0.07857142857142857,2.0,0.06,5
24.25,11322.215507913103,13.531841673149815,16.252650413740657,0.12,0.07857142857142857,2.0,0.06,5
24.5,11321.810617776628,13.670927776759958,16.5184544466061,0.12,0.07857142857142857,2.0,0.06,5
24.75,11321.401580632712,13.81142883934665,16.786990527935313,0.12,0.07857142857142857,2.0,0.06,5
25.0,11320.988354595998,13.953358952430621,17.058286451565337,0.12,0.07857142857142857,2.0,0.06,5
25.25,11320.57089737029,14.096732341573173,17.33237028813094,0.12,0.07857142857142857,2.0,0.06,5
25.5,11320.149166244777,14.241563367519326,17.609270387697556,0.12,0.07857142857142857,2.0,0.06,5
25.75,11319.723118090229,14.387866527347887,17.889015382416687,0.12,0.07857142857142857,2.0,0.06,5
26.0,11319.29270935516,14.535656455628393,18.17163418920388,0.12,0.07857142857142857,2.0,0.06,5
26.25,11318.857896061969,14.684947925584922,18.457156012439437,0.12,0.07857142857142857,2.0,0.06,5
26.5,11318.418633803034,14.83575585026673,18.745610346691997,0.12,0.07857142857142857,2.0,0.06,5
26.75,11317.974877736802,14.988095283725693,19.037026979465093,0.12,0.07857142857142857,2.0,0.06,5
27.0,11317.526582583825,15.141981422200505,19.33143599396685,0.12,0.07857142857142857,2.0,0.06,5
27.25,11317.073702622782,15.297429605307618,19.628867771902932,0.12,0.07857142857142857,2.0,0.06,5
27.5,11316.61619168646,15.45445531723887,19.929352996292902,0.12,0.07857142857142857,2.0,0.06,5
27.75,11316.154003157717,15.613074187965758,20.232922654310094,0.12,0.07857142857142857,2.0,0.06,5
28.0,11315.687089965397,15.773301994450344,20.539608040145136,0.12,0.07857142857142857,2.0,0.06,5
28.25,11315.215404580236,15.935154661862697,20.84944075789327,0.12,0.07857142857142857,2.0,0.06,5
28.5,11314.738899010721,16.09864826480487,21.162452724465574,0.12,0.07857142857142857,2.0,0.06,5
28.75,11314.257524798926,16.263799028541335,21.478676172524242,0.12,0.07857142857142857,2.0,0.06,5
29.0,11313.771233016314,16.43062333023585,21.79814365344202,0.12,0.07857142857142857,2.0,0.06,5
29.25,11313.27997425951,16.59913770019465,22.120888040285937,0.12,0.07857142857142857,2.0,0.06,5
29.5,11312.78369864605,16.76935882311597,22.446942530825474,0.12,0.07857142857142857,2.0,0.06,5
29.75,11312.28235581008,16.941303539345782,22.776340650565253,0.12,0.07857142857142857,2.0,0.06,5
30.0,11311.77589489805,17.11498884613972,23.1091162558024,0.12,0.07857142857142857,2.0,0.06,5
30.25,11311.264264564352,17.29043189893111,23.445303536708717,0.12,0.07857142857142857,2.0,0.06,5
30.5,11310.747412966948,17.46765001260502,23.78493702043772,0.12,0.07857142857142857,2.0,0.06,5
30.75,11310.225287762956,17.646660662778288,24.128051574256748,0.12,0.07857142857142857,2.0,0.06,5
31.0,11309.697836104202,17.82748148708542,24.47468240870418,0.12,0.07857142857142857,2.0,0.06,5
31.25,11309.165004632749,18.010130286470307,24.82486508077193,0.12,0.07857142857142857,2.0,0.06,5
31.5,11308.626739476395,18.194625026483646,25.17863549711331,0.12,0.07857142857142857,2.0,0.06,5
31.75,11308.08298624413,18.380983838586005,25.53602991727638,0.12,0.07857142857142857,2.0,0.06,5
32.0,11307.533690021573,18.569225021456425,25.897084956962892,0.12,0.07857142857142857,2.0,0.06,5
32.25,11306.978795366373,18.75936704230647,26.26183759131293,0.12,0.07857142857142857,2.0,0.06,5
32.5,11306.418246303578,18.951428538199618,26.630325158215378,0.12,0.07857142857142857,2.0,0.06,5
32.75,11305.851986320973,19.145428317375927,27.0025853616443,0.12,0.07857142857142857,2.0,0.06,5
33.0,11305.27995836439,19.341385360581803,27.378656275021328,0.12,0.07857142857142857,2.0,0.06,5
33.25,11304.702104832984,19.539318822404834,27.758576344604183,0.12,0.07857142857142857,2.0,0.06,5
33.5,11304.118367574478,19.739248032613524,28.14238439290142,0.12,0.07857142857142857,2.0,0.06,5
33.75,11303.528687880378,19.94119249750183,28.53011962211347,0.12,0.07857142857142857,2.0,0.06,5
34.0,11302.933006481155,20.14517190123838,28.921821617600113,0.12,0.07857142857142857,2.0,0.06,5
34.25,11302.331263541399,20.35120610722025,29.317530351374437,0.12,0.07857142857142857,2.0,0.06,5
